CODGEO,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,surface_habitable_logement,consommation_energie_primaire,date_reception_dpe,region,region_code,est_passoire
93081,E,F,appartement,1974,114.7,677.0,2021-07-25,Île-de-France,11,0
95224,E,E,appartement,1976,37.6,637.0,2021-07-25,Île-de-France,11,0
94155,E,E,maison,1987,23.5,574.0,2021-07-25,Île-de-France,11,0
78127,F,D,appartement,1966,61.9,471.0,2021-07-26,Île-de-France,11,1
77260,G,C,appartement,1954,81.4,354.0,2021-07-26,Île-de-France,11,1
95390,D,C,maison,1988,40.0,183.0,2021-07-26,Île-de-France,11,0
93210,F,D,maison,1959,61.8,562.0,2021-07-26,Île-de-France,11,1
91119,D,D,maison,1979,22.5,304.0,2021-07-27,Île-de-France,11,0
95169,E,G,maison,1967,89.7,349.0,2021-07-27,Île-de-France,11,0
91101,C,A,appartement,2006,25.6,298.0,2021-07-27,Île-de-France,11,0
78249,C,D,appartement,2013,70.3,245.0,2021-07-27,Île-de-France,11,0
77386,C,E,maison,1989,45.7,259.0,2021-07-28,Île-de-France,11,0
78110,C,D,appartement,2013,97.5,320.0,2021-07-28,Île-de-France,11,0
94385,A,C,appartement,2016,71.3,68.0,2021-07-28,Île-de-France,11,0
93367,E,F,appartement,1992,70.4,621.0,2021-07-28,Île-de-France,11,0
94378,F,E,appartement,1948,39.4,359.0,2021-07-29,Île-de-France,11,1
93009,C,A,appartement,2015,48.4,318.0,2021-07-29,Île-de-France,11,0
92320,F,E,appartement,1933,115.9,458.0,2021-07-29,Île-de-France,11,1
75132,D,G,maison,1991,32.3,205.0,2021-07-29,Île-de-France,11,0
77324,C,F,maison,2011,39.0,322.0,2021-07-30,Île-de-France,11,0
95242,B,E,maison,1987,54.5,123.0,2021-07-30,Île-de-France,11,0
91216,D,D,appartement,1986,72.2,260.0,2021-07-30,Île-de-France,11,0
75052,E,B,maison,1973,31.2,541.0,2021-07-30,Île-de-France,11,0
78095,D,C,appartement,1974,64.1,205.0,2021-07-31,Île-de-France,11,0
77304,E,D,maison,1992,49.2,476.0,2021-07-31,Île-de-France,11,0
95328,G,E,appartement,1937,42.3,511.0,2021-07-31,Île-de-France,11,1
77138,D,G,maison,1970,59.1,262.0,2021-07-31,Île-de-France,11,0
75080,D,G,maison,1974,39.5,316.0,2021-08-01,Île-de-France,11,0
95377,D,B,appartement,1983,64.2,284.0,2021-08-01,Île-de-France,11,0
93105,G,D,appartement,1948,75.3,684.0,2021-08-01,Île-de-France,11,1
75117,A,E,maison,1985,141.7,148.0,2021-08-01,Île-de-France,11,0
77040,C,D,appartement,1990,56.4,322.0,2021-08-02,Île-de-France,11,0
93037,B,D,maison,1999,80.0,139.0,2021-08-02,Île-de-France,11,0
91388,D,D,maison,1968,92.4,327.0,2021-08-02,Île-de-France,11,0
77220,D,B,maison,1967,64.9,192.0,2021-08-03,Île-de-France,11,0
78231,E,D,maison,1981,63.7,686.0,2021-08-03,Île-de-France,11,0
93360,B,E,maison,2013,116.2,65.0,2021-08-03,Île-de-France,11,0
93155,A,F,maison,1990,63.1,121.0,2021-08-03,Île-de-France,11,0
95085,E,E,maison,1969,60.6,577.0,2021-08-04,Île-de-France,11,0
93274,F,E,maison,1961,37.3,417.0,2021-08-04,Île-de-France,11,1
94248,D,G,appartement,1991,32.9,209.0,2021-08-04,Île-de-France,11,0
95075,C,C,appartement,2011,50.3,157.0,2021-08-04,Île-de-France,11,0
93151,C,F,appartement,2003,29.4,212.0,2021-08-05,Île-de-France,11,0
94280,D,C,appartement,1986,101.6,260.0,2021-08-05,Île-de-France,11,0
95008,D,F,appartement,1981,72.5,186.0,2021-08-05,Île-de-France,11,0
92169,E,E,maison,1983,115.3,422.0,2021-08-05,Île-de-France,11,0
78349,E,D,maison,1970,25.0,479.0,2021-08-06,Île-de-France,11,0
93007,B,C,maison,2018,50.1,88.0,2021-08-06,Île-de-France,11,0
94015,C,E,maison,2005,93.6,325.0,2021-08-06,Île-de-France,11,0
91157,G,G,maison,1948,65.0,561.0,2021-08-06,Île-de-France,11,1
94391,D,C,maison,1969,127.0,266.0,2021-08-07,Île-de-France,11,0
93023,E,G,appartement,1973,82.8,665.0,2021-08-07,Île-de-France,11,0
92224,C,B,maison,2018,37.5,282.0,2021-08-07,Île-de-France,11,0
92148,E,F,appartement,1966,78.4,634.0,2021-08-07,Île-de-France,11,0
91205,F,B,maison,1951,36.1,566.0,2021-08-08,Île-de-France,11,1
78143,A,D,maison,1996,47.1,144.0,2021-08-08,Île-de-France,11,0
95285,C,G,maison,1986,106.8,225.0,2021-08-08,Île-de-France,11,0
92017,D,G,maison,1983,68.1,265.0,2021-08-08,Île-de-France,11,0
77374,D,F,maison,1973,40.1,326.0,2021-08-09,Île-de-France,11,0
94364,D,D,appartement,1968,52.8,246.0,2021-08-09,Île-de-France,11,0
94151,E,F,maison,1992,126.6,383.0,2021-08-09,Île-de-France,11,0
77344,G,E,maison,1943,61.2,694.0,2021-08-09,Île-de-France,11,1
77099,D,G,maison,1979,72.7,213.0,2021-08-10,Île-de-France,11,0
78158,A,G,maison,2001,67.3,136.0,2021-08-10,Île-de-France,11,0
91048,B,C,appartement,2016,75.4,87.0,2021-08-10,Île-de-France,11,0
78252,D,D,appartement,1982,81.8,329.0,2021-08-10,Île-de-France,11,0
93033,E,C,maison,1974,48.3,609.0,2021-08-11,Île-de-France,11,0
77185,F,E,immeuble,1931,29.4,419.0,2021-08-11,Île-de-France,11,1
92094,C,C,maison,2004,60.4,328.0,2021-08-11,Île-de-France,11,0
95362,D,D,immeuble,1965,208.4,224.0,2021-08-11,Île-de-France,11,0
78222,D,F,maison,1991,77.6,256.0,2021-08-12,Île-de-France,11,0
77248,F,D,appartement,1958,118.9,450.0,2021-08-12,Île-de-France,11,1
94013,E,E,appartement,1968,27.4,511.0,2021-08-12,Île-de-France,11,0
91267,G,D,maison,1971,79.8,568.0,2021-08-12,Île-de-France,11,1
95383,E,F,appartement,1992,110.3,534.0,2021-08-13,Île-de-France,11,0
91187,A,D,appartement,2016,30.7,126.0,2021-08-13,Île-de-France,11,0
92197,G,D,maison,1926,102.8,487.0,2021-08-13,Île-de-France,11,1
94367,G,E,appartement,1921,59.5,446.0,2021-08-14,Île-de-France,11,1
77391,D,D,maison,1974,44.9,295.0,2021-08-14,Île-de-France,11,0
93375,E,G,maison,1971,25.9,350.0,2021-08-14,Île-de-France,11,0
93368,E,G,appartement,1990,269.1,557.0,2021-08-14,Île-de-France,11,0
93192,G,D,maison,1934,91.4,611.0,2021-08-15,Île-de-France,11,1
95064,F,F,maison,1920,46.0,605.0,2021-08-15,Île-de-France,11,1
77079,F,G,maison,1972,160.4,458.0,2021-08-15,Île-de-France,11,1
91349,F,E,maison,1968,76.5,508.0,2021-08-15,Île-de-France,11,1
77133,D,C,maison,1969,39.1,201.0,2021-08-16,Île-de-France,11,0
92200,E,C,maison,1994,44.0,565.0,2021-08-16,Île-de-France,11,0
94155,G,F,appartement,1957,76.8,689.0,2021-08-16,Île-de-France,11,1
95088,C,C,maison,2000,39.0,203.0,2021-08-16,Île-de-France,11,0
91269,D,E,appartement,1965,18.6,242.0,2021-08-17,Île-de-France,11,0
95347,C,F,maison,1992,53.0,175.0,2021-08-17,Île-de-France,11,0
94177,D,B,maison,1982,107.9,272.0,2021-08-17,Île-de-France,11,0
92027,C,C,appartement,2016,61.4,168.0,2021-08-17,Île-de-France,11,0
95207,D,E,appartement,1969,111.4,310.0,2021-08-18,Île-de-France,11,0
91385,C,E,maison,1987,78.2,259.0,2021-08-18,Île-de-France,11,0
77362,D,A,appartement,1984,62.9,195.0,2021-08-18,Île-de-France,11,0
78338,C,F,appartement,1998,81.6,158.0,2021-08-18,Île-de-France,11,0
95137,G,E,immeuble,1922,52.5,469.0,2021-08-19,Île-de-France,11,1
78182,D,E,maison,1970,198.8,276.0,2021-08-19,Île-de-France,11,0
93270,D,G,maison,1987,39.7,204.0,2021-08-19,Île-de-France,11,0
92076,E,B,immeuble,1974,136.5,424.0,2021-08-19,Île-de-France,11,0
94233,G,C,maison,1953,26.9,408.0,2021-08-20,Île-de-France,11,1
92300,E,F,appartement,1980,72.5,564.0,2021-08-20,Île-de-France,11,0
92081,B,E,maison,2008,31.4,147.0,2021-08-20,Île-de-France,11,0
95037,F,F,appartement,1934,62.3,539.0,2021-08-20,Île-de-France,11,1
78031,D,B,appartement,1973,87.7,288.0,2021-08-21,Île-de-France,11,0
95185,D,F,appartement,1994,68.4,260.0,2021-08-21,Île-de-France,11,0
94308,F,E,immeuble,1938,107.3,475.0,2021-08-21,Île-de-France,11,1
93354,C,F,appartement,2010,51.9,249.0,2021-08-21,Île-de-France,11,0
91305,F,D,appartement,1962,57.5,370.0,2021-08-22,Île-de-France,11,1
92356,C,B,maison,1994,82.4,166.0,2021-08-22,Île-de-France,11,0
95245,F,G,appartement,1966,48.6,512.0,2021-08-22,Île-de-France,11,1
91284,D,E,maison,1976,80.5,200.0,2021-08-22,Île-de-France,11,0
95395,E,C,appartement,1984,112.9,490.0,2021-08-23,Île-de-France,11,0
93156,D,E,maison,1981,43.9,172.0,2021-08-23,Île-de-France,11,0
92002,D,D,maison,1976,59.3,276.0,2021-08-23,Île-de-France,11,0
78247,F,E,maison,1942,98.7,472.0,2021-08-23,Île-de-France,11,1
95342,E,F,immeuble,1989,50.5,653.0,2021-08-24,Île-de-France,11,0
94212,C,E,maison,2006,117.4,220.0,2021-08-24,Île-de-France,11,0
95372,D,C,appartement,1978,180.9,273.0,2021-08-24,Île-de-France,11,0
77125,E,G,appartement,1973,60.7,368.0,2021-08-25,Île-de-France,11,0
93029,E,D,appartement,1974,87.0,454.0,2021-08-25,Île-de-France,11,0
93062,E,F,maison,1990,73.5,359.0,2021-08-25,Île-de-France,11,0
78257,A,D,maison,2011,163.1,132.0,2021-08-25,Île-de-France,11,0
94348,E,F,maison,1985,55.9,459.0,2021-08-26,Île-de-France,11,0
77029,B,D,appartement,2011,72.6,133.0,2021-08-26,Île-de-France,11,0
93381,G,E,maison,1959,84.5,460.0,2021-08-26,Île-de-France,11,1
91317,C,D,maison,2014,55.0,323.0,2021-08-26,Île-de-France,11,0
93354,G,E,appartement,1937,56.9,378.0,2021-08-27,Île-de-France,11,1
78006,D,G,maison,1981,102.6,326.0,2021-08-27,Île-de-France,11,0
77328,F,C,appartement,1959,26.2,494.0,2021-08-27,Île-de-France,11,1
93063,E,E,appartement,1988,107.2,547.0,2021-08-27,Île-de-France,11,0
77382,G,E,maison,1955,76.7,562.0,2021-08-28,Île-de-France,11,1
77338,A,F,maison,2015,65.5,141.0,2021-08-28,Île-de-France,11,0
77103,D,F,maison,1983,27.2,224.0,2021-08-28,Île-de-France,11,0
77047,D,C,maison,1974,86.7,212.0,2021-08-28,Île-de-France,11,0
92396,C,C,immeuble,1996,140.3,202.0,2021-08-29,Île-de-France,11,0
91303,E,E,maison,1992,43.3,554.0,2021-08-29,Île-de-France,11,0
91001,B,E,appartement,1985,150.6,132.0,2021-08-29,Île-de-France,11,0
94175,C,B,appartement,2000,54.0,215.0,2021-08-29,Île-de-France,11,0
92305,D,G,maison,1982,42.6,191.0,2021-08-30,Île-de-France,11,0
93343,A,C,maison,2012,35.8,111.0,2021-08-30,Île-de-France,11,0
77030,F,C,maison,1965,40.1,462.0,2021-08-30,Île-de-France,11,1
94388,F,G,maison,1972,21.0,584.0,2021-08-30,Île-de-France,11,1
95359,C,D,maison,1990,95.6,226.0,2021-08-31,Île-de-France,11,0
92050,C,G,immeuble,2013,186.6,168.0,2021-08-31,Île-de-France,11,0
93361,E,B,appartement,1976,22.6,476.0,2021-08-31,Île-de-France,11,0
93312,F,C,appartement,1921,62.3,408.0,2021-08-31,Île-de-France,11,1
77028,F,D,maison,1971,64.7,401.0,2021-09-01,Île-de-France,11,1
91139,D,D,maison,1988,38.4,275.0,2021-09-01,Île-de-France,11,0
95268,C,F,maison,1996,108.4,237.0,2021-09-01,Île-de-France,11,0
95336,C,C,maison,1995,29.4,214.0,2021-09-01,Île-de-France,11,0
78096,G,F,maison,1934,56.9,536.0,2021-09-02,Île-de-France,11,1
78084,C,G,appartement,2000,86.0,247.0,2021-09-02,Île-de-France,11,0
91209,D,E,appartement,1970,61.8,327.0,2021-09-02,Île-de-France,11,0
93313,E,C,maison,1979,24.9,526.0,2021-09-02,Île-de-France,11,0
95363,A,G,maison,2009,95.2,117.0,2021-09-03,Île-de-France,11,0
95198,E,F,immeuble,1991,41.2,530.0,2021-09-03,Île-de-France,11,0
91005,C,G,immeuble,1999,41.7,216.0,2021-09-03,Île-de-France,11,0
92274,A,B,maison,1993,43.2,109.0,2021-09-03,Île-de-France,11,0
78059,C,E,maison,2006,51.0,304.0,2021-09-04,Île-de-France,11,0
95058,C,D,maison,2004,103.4,185.0,2021-09-04,Île-de-France,11,0
93089,D,C,maison,1983,198.7,151.0,2021-09-04,Île-de-France,11,0
95224,D,F,maison,1982,36.6,299.0,2021-09-05,Île-de-France,11,0
93212,G,D,immeuble,1951,54.4,591.0,2021-09-05,Île-de-France,11,1
77297,D,F,appartement,1965,41.4,259.0,2021-09-05,Île-de-France,11,0
95206,D,F,maison,1989,93.4,290.0,2021-09-05,Île-de-France,11,0
93217,B,D,maison,2001,80.1,142.0,2021-09-06,Île-de-France,11,0
75067,C,G,appartement,2015,55.9,247.0,2021-09-06,Île-de-France,11,0
91023,F,D,maison,1939,60.9,511.0,2021-09-06,Île-de-France,11,1
78261,C,B,appartement,2019,54.7,282.0,2021-09-06,Île-de-France,11,0
91003,C,C,immeuble,2005,42.9,249.0,2021-09-07,Île-de-France,11,0
77335,D,B,maison,1987,42.2,208.0,2021-09-07,Île-de-France,11,0
77150,G,F,appartement,1951,71.6,553.0,2021-09-07,Île-de-France,11,1
93158,E,D,appartement,1989,36.0,398.0,2021-09-07,Île-de-France,11,0
78048,D,A,maison,1987,141.2,178.0,2021-09-08,Île-de-France,11,0
93167,F,D,appartement,1942,29.1,456.0,2021-09-08,Île-de-France,11,1
91303,D,E,appartement,1977,109.1,189.0,2021-09-08,Île-de-France,11,0
91295,E,D,appartement,1970,54.3,386.0,2021-09-08,Île-de-France,11,0
95270,E,G,appartement,1967,139.2,686.0,2021-09-09,Île-de-France,11,0
75119,D,B,maison,1985,98.6,181.0,2021-09-09,Île-de-France,11,0
92272,E,C,appartement,1979,36.6,382.0,2021-09-09,Île-de-France,11,0
94325,C,E,maison,2015,33.1,268.0,2021-09-09,Île-de-France,11,0
77060,B,C,maison,1989,93.3,102.0,2021-09-10,Île-de-France,11,0
77208,E,E,appartement,1981,36.9,465.0,2021-09-10,Île-de-France,11,0
77127,E,E,maison,1976,118.6,594.0,2021-09-10,Île-de-France,11,0
94229,C,G,appartement,1989,67.6,200.0,2021-09-10,Île-de-France,11,0
77384,F,G,appartement,1968,89.9,598.0,2021-09-11,Île-de-France,11,1
93129,B,D,maison,2000,34.8,96.0,2021-09-11,Île-de-France,11,0
94205,E,F,maison,1980,98.0,445.0,2021-09-11,Île-de-France,11,0
94020,G,F,appartement,1945,81.7,332.0,2021-09-11,Île-de-France,11,1
93237,C,D,appartement,1985,48.8,218.0,2021-09-12,Île-de-France,11,0
91029,D,E,appartement,1972,76.2,162.0,2021-09-12,Île-de-France,11,0
94201,C,E,appartement,2008,67.7,201.0,2021-09-12,Île-de-France,11,0
93089,E,D,appartement,1970,65.5,662.0,2021-09-12,Île-de-France,11,0
92370,F,F,appartement,1958,27.1,402.0,2021-09-13,Île-de-France,11,1
93321,D,E,maison,1981,85.6,328.0,2021-09-13,Île-de-France,11,0
95028,C,E,appartement,2009,44.0,190.0,2021-09-13,Île-de-France,11,0
91363,B,G,maison,1992,56.9,65.0,2021-09-13,Île-de-France,11,0
92390,D,F,appartement,1971,52.6,303.0,2021-09-14,Île-de-France,11,0
91154,D,C,appartement,1973,258.0,169.0,2021-09-14,Île-de-France,11,0
95170,F,E,immeuble,1951,93.5,412.0,2021-09-14,Île-de-France,11,1
92097,F,G,appartement,1964,66.9,671.0,2021-09-14,Île-de-France,11,1
78201,E,G,appartement,1965,74.6,695.0,2021-09-15,Île-de-France,11,0
92270,D,B,appartement,1972,44.9,153.0,2021-09-15,Île-de-France,11,0
92149,G,G,maison,1964,86.8,687.0,2021-09-15,Île-de-France,11,1
93042,E,E,maison,1978,119.7,626.0,2021-09-16,Île-de-France,11,0
92055,E,E,maison,1976,80.1,378.0,2021-09-16,Île-de-France,11,0
78090,D,G,maison,1977,165.3,265.0,2021-09-16,Île-de-France,11,0
95323,E,F,maison,1966,101.3,359.0,2021-09-16,Île-de-France,11,0
92150,E,E,appartement,1972,46.5,649.0,2021-09-17,Île-de-France,11,0
92051,D,E,immeuble,1978,47.5,280.0,2021-09-17,Île-de-France,11,0
92077,D,C,appartement,1988,79.9,200.0,2021-09-17,Île-de-France,11,0
92299,E,D,maison,1966,58.6,354.0,2021-09-17,Île-de-France,11,0
92380,G,C,appartement,1969,57.8,693.0,2021-09-18,Île-de-France,11,1
77381,D,D,appartement,1973,54.4,182.0,2021-09-18,Île-de-France,11,0
93173,D,G,appartement,1981,35.8,205.0,2021-09-18,Île-de-France,11,0
77342,C,F,appartement,1995,85.9,199.0,2021-09-18,Île-de-France,11,0
93130,C,C,maison,2011,56.1,280.0,2021-09-19,Île-de-France,11,0
77150,D,C,maison,1994,52.8,201.0,2021-09-19,Île-de-France,11,0
93146,C,D,maison,1996,24.4,298.0,2021-09-19,Île-de-France,11,0
77180,B,G,maison,1997,36.7,55.0,2021-09-19,Île-de-France,11,0
77054,B,D,immeuble,2011,92.1,108.0,2021-09-20,Île-de-France,11,0
78217,E,F,maison,1988,63.2,680.0,2021-09-20,Île-de-France,11,0
94335,D,G,appartement,1990,87.6,239.0,2021-09-20,Île-de-France,11,0
95112,B,E,appartement,2013,41.5,122.0,2021-09-20,Île-de-France,11,0
91059,C,F,appartement,1993,52.0,157.0,2021-09-21,Île-de-France,11,0
93362,F,C,maison,1947,33.8,467.0,2021-09-21,Île-de-France,11,1
95394,G,C,immeuble,1940,52.3,345.0,2021-09-21,Île-de-France,11,1
78190,C,G,appartement,1998,97.2,160.0,2021-09-21,Île-de-France,11,0
94074,C,D,appartement,2010,45.5,205.0,2021-09-22,Île-de-France,11,0
95212,A,F,maison,2006,61.4,77.0,2021-09-22,Île-de-France,11,0
92113,B,B,appartement,2012,136.5,55.0,2021-09-22,Île-de-France,11,0
93065,C,F,appartement,1986,158.9,181.0,2021-09-22,Île-de-France,11,0
77315,C,F,appartement,2006,99.7,191.0,2021-09-23,Île-de-France,11,0
92389,D,F,appartement,1984,100.1,316.0,2021-09-23,Île-de-France,11,0
93120,D,F,maison,1983,77.8,264.0,2021-09-23,Île-de-France,11,0
93248,D,D,maison,1984,154.3,266.0,2021-09-23,Île-de-France,11,0
92102,D,C,maison,1989,78.1,261.0,2021-09-24,Île-de-France,11,0
91303,E,F,appartement,1988,71.1,578.0,2021-09-24,Île-de-France,11,0
78070,C,G,immeuble,2018,49.6,222.0,2021-09-24,Île-de-France,11,0
93345,F,E,maison,1951,57.4,466.0,2021-09-24,Île-de-France,11,1
94028,D,E,appartement,1984,76.0,173.0,2021-09-25,Île-de-France,11,0
77193,C,F,appartement,1998,82.5,207.0,2021-09-25,Île-de-France,11,0
77199,C,E,immeuble,2014,128.0,294.0,2021-09-25,Île-de-France,11,0
75139,D,F,appartement,1975,90.1,306.0,2021-09-25,Île-de-France,11,0
78179,D,D,maison,1973,100.5,316.0,2021-09-26,Île-de-France,11,0
92321,D,F,maison,1991,39.1,191.0,2021-09-26,Île-de-France,11,0
92388,G,E,maison,1963,39.2,405.0,2021-09-26,Île-de-France,11,1
77171,C,D,maison,1986,50.8,326.0,2021-09-27,Île-de-France,11,0
95225,D,F,appartement,1965,67.0,199.0,2021-09-27,Île-de-France,11,0
91240,C,G,appartement,2002,72.0,182.0,2021-09-27,Île-de-France,11,0
92153,C,D,appartement,2008,30.5,292.0,2021-09-27,Île-de-France,11,0
91148,C,E,appartement,2012,57.6,265.0,2021-09-28,Île-de-France,11,0
