CODGEO,NOM_COMMUNE,DEP,REGION,REGION_CODE,NB_DPE_TOTAL,NB_PASSOIRES,TAUX_PASSOIRES,NB_CLASSE_A,NB_CLASSE_B,NB_CLASSE_C,NB_CLASSE_D,NB_CLASSE_E,NB_CLASSE_F,NB_CLASSE_G,SURFACE_MOY,CONSO_ENERGIE_MOY,ANNEE_CONSTRUCTION_MOY,NB_MAISONS_DPE,NB_APPARTS_DPE,POPULATION,REVENU_MEDIAN,TAUX_PAUVRETE,MENAGES_PAUVRES,NB_LOGEMENTS,NB_RP,NB_LOGVAC,PASSOIRES_POUR_1000_HAB,TAUX_COUVERTURE_DPE,RATIO_PASSOIRES_RP,TAUX_VACANCE,SCORE_PRIORITE,CATEGORIE_PRIORITE,RANG_PRIORITE
02077,,,Hauts-de-France,32,5,2,40.0,0,1,1,1,0,2,0,81.4,348.4,1972.6,3,2,,,,,1396.0,985.0,163.0,,0.36,0.2,11.68,,,3613
02087,Bieuxy,02,Hauts-de-France,32,5,2,40.0,0,0,0,2,1,1,1,66.8,363.0,1969.6,3,2,31.0,18533.0,28.2,27.8,2046.0,1603.0,103.0,64.52,0.24,0.12,5.03,0.482,Moyenne,731
02088,Bièvres,02,Hauts-de-France,32,5,2,40.0,1,1,1,0,0,2,0,88.7,295.2,1995.4,2,2,80.0,13125.0,32.2,30.9,3725.0,2947.0,550.0,25.0,0.13,0.07,14.77,0.5126,Moyenne,566
02092,,,Hauts-de-France,32,6,1,16.67,0,0,0,3,2,0,1,92.8,300.8,1979.5,4,2,,,,,107.0,88.0,15.0,,5.61,1.14,14.02,,,3613
02093,Blérancourt,02,Hauts-de-France,32,5,2,40.0,0,0,0,1,2,2,0,124.9,473.4,1969.2,3,2,1162.0,19740.0,23.4,27.2,1175.0,850.0,158.0,1.72,0.43,0.24,13.45,0.4125,Moyenne,1244
02111,Brancourt-en-Laonnois,02,Hauts-de-France,32,5,4,80.0,0,0,1,0,0,3,1,66.8,457.4,1956.2,3,2,702.0,17702.0,25.8,28.0,,,,5.7,,,,0.6005,Moyenne,336
02113,,,Hauts-de-France,32,7,3,42.86,0,1,0,3,0,1,2,78.7,298.9,1963.4,4,3,,,,,,,,,,,,,,3613
02118,Braye,02,Hauts-de-France,32,5,4,80.0,0,0,0,1,0,1,3,91.6,389.6,1940.4,3,2,129.0,15737.0,27.1,31.2,,,,31.01,,,,0.6463,Moyenne,210
02120,Brenelle,02,Hauts-de-France,32,8,3,37.5,0,1,1,3,0,2,1,87.2,337.8,1972.5,3,3,193.0,17113.0,33.7,31.0,,,,15.54,,,,0.4462,Moyenne,982
02145,Caumont,02,Hauts-de-France,32,5,0,0.0,0,1,0,2,2,0,0,67.1,290.8,1989.2,3,2,547.0,25067.0,19.5,21.1,,,,0.0,,,,0.1868,Faible,3347
02152,Cerseuil,02,Hauts-de-France,32,6,3,50.0,1,0,0,0,2,2,1,88.1,399.7,1966.3,3,2,87.0,18041.0,26.9,29.8,,,,34.48,,,,0.5016,Moyenne,625
02171,Chaudardes,02,Hauts-de-France,32,6,2,33.33,0,0,0,1,3,1,1,99.0,439.0,1974.2,2,2,91.0,16046.0,27.8,27.2,,,,21.98,,,,0.448,Moyenne,962
02173,Chauny,02,Hauts-de-France,32,5,0,0.0,2,1,0,1,1,0,0,77.7,222.0,1992.8,4,1,11596.0,18989.0,29.2,31.3,,,,0.0,,,,0.26,Faible,2550
02174,Chavignon,02,Hauts-de-France,32,8,2,25.0,1,2,1,2,0,1,1,63.3,243.1,1981.1,3,3,859.0,15083.0,27.5,33.0,,,,2.33,,,,0.4091,Moyenne,1275
02184,Chevresis-Monceau,02,Hauts-de-France,32,5,2,40.0,0,0,0,2,1,1,1,76.8,345.6,1962.2,1,3,329.0,15513.0,31.7,36.8,,,,6.08,,,,0.4672,Moyenne,839
02213,Connigis,02,Hauts-de-France,32,5,2,40.0,0,0,2,0,1,1,1,87.3,435.2,1980.6,2,3,306.0,18176.0,24.5,28.5,,,,6.54,,,,0.4355,Moyenne,1065
02221,Coupru,02,Hauts-de-France,32,6,0,0.0,0,0,2,3,1,0,0,68.8,281.0,1986.2,2,4,161.0,16657.0,26.7,24.8,,,,0.0,,,,0.2881,Faible,2219
02225,Courchamps,02,Hauts-de-France,32,5,4,80.0,0,1,0,0,0,3,1,136.6,394.0,1960.8,2,3,82.0,13758.0,26.5,31.2,,,,48.78,,,,0.6857,Haute,74
02229,Courtrizy-et-Fussigny,02,Hauts-de-France,32,5,1,20.0,0,1,1,2,0,0,1,58.2,294.0,1981.6,1,4,78.0,18113.0,27.5,24.0,,,,12.82,,,,0.3618,Moyenne,1659
02249,Cuiry-Housse,02,Hauts-de-France,32,5,2,40.0,0,0,0,1,2,0,2,78.4,438.8,1965.0,4,1,102.0,21112.0,25.9,29.1,,,,19.61,,,,0.4116,Moyenne,1251
02259,Dampleux,02,Hauts-de-France,32,5,1,20.0,0,1,1,1,1,1,0,81.0,305.2,1988.2,3,2,370.0,15316.0,26.4,27.7,,,,2.7,,,,0.3867,Moyenne,1465
02270,Douchy,02,Hauts-de-France,32,5,3,60.0,0,0,2,0,0,3,0,70.0,329.2,1962.0,2,3,153.0,17362.0,27.1,24.9,,,,19.61,,,,0.5368,Moyenne,481
02277,Épagny,02,Hauts-de-France,32,6,1,16.67,0,1,1,3,0,0,1,62.3,232.5,1984.8,1,5,337.0,19162.0,26.0,21.9,,,,2.97,,,,0.3272,Faible,1922
02278,Éparcy,02,Hauts-de-France,32,6,4,66.67,0,0,0,1,1,2,2,64.1,476.0,1958.0,4,1,38.0,18246.0,26.9,23.4,,,,105.26,,,,0.6278,Moyenne,269
02285,,,Hauts-de-France,32,5,0,0.0,1,0,0,1,3,0,0,69.0,424.8,1983.2,5,0,,,,,,,,,,,,,,3613
02305,Fère-en-Tardenois,02,Hauts-de-France,32,8,3,37.5,0,0,1,1,3,2,1,79.4,456.9,1966.1,1,7,2836.0,17155.0,27.8,25.3,,,,1.06,,,,0.4331,Moyenne,1080
02317,Fluquières,02,Hauts-de-France,32,5,3,60.0,0,0,1,1,0,1,2,98.5,376.8,1955.8,2,2,194.0,20266.0,25.2,21.5,,,,15.46,,,,0.4982,Moyenne,639
02320,Fontaine-lès-Clercs,02,Hauts-de-France,32,5,1,20.0,0,0,1,1,2,1,0,55.9,451.2,1972.0,1,3,232.0,14007.0,37.9,43.7,,,,4.31,,,,0.4038,Moyenne,1324
02322,Fontaine-Notre-Dame,02,Hauts-de-France,32,5,3,60.0,0,0,0,1,1,1,2,88.0,477.8,1965.8,2,3,378.0,18099.0,25.4,24.7,,,,7.94,,,,0.5177,Moyenne,550
02339,Gandelu,02,Hauts-de-France,32,5,1,20.0,0,0,1,1,2,0,1,64.5,392.8,1972.2,3,2,683.0,18292.0,24.7,29.0,,,,1.46,,,,0.3497,Moyenne,1739
02348,,,Hauts-de-France,32,5,4,80.0,0,0,1,0,0,1,3,64.3,458.6,1961.4,3,2,,,,,,,,,,,,,,3613
02350,Goudelancourt-lès-Pierrepont,02,Hauts-de-France,32,5,2,40.0,0,0,1,2,0,1,1,63.0,374.6,1961.6,4,1,140.0,17545.0,27.8,25.3,,,,14.29,,,,0.4499,Moyenne,947
02371,Harly,02,Hauts-de-France,32,5,3,60.0,0,1,0,1,0,2,1,68.7,396.6,1969.2,3,2,1569.0,17695.0,26.1,28.3,,,,1.91,,,,0.5173,Moyenne,552
02373,Hary,02,Hauts-de-France,32,5,1,20.0,0,0,0,0,4,0,1,110.2,577.6,1974.2,1,4,203.0,18059.0,26.3,25.3,,,,4.93,,,,0.3556,Moyenne,1698
22001,Allineuc,22,Bretagne,53,6,2,33.33,1,0,0,1,2,1,1,79.5,405.7,1965.3,3,3,589.0,19030.0,22.0,21.3,124445.0,83301.0,13263.0,3.4,0.0,0.0,10.66,0.3958,Moyenne,1393
22003,Aucaleuc,22,Bretagne,53,7,3,42.86,0,0,1,2,1,2,1,70.6,461.4,1973.9,2,3,973.0,22214.0,18.8,16.7,211.0,162.0,12.0,3.08,3.32,1.85,5.69,0.3953,Moyenne,1395
22006,Berhet,22,Bretagne,53,6,2,33.33,0,0,1,2,1,2,0,55.5,346.8,1963.5,4,2,272.0,16381.0,31.4,32.8,801.0,545.0,101.0,7.35,0.75,0.37,12.61,0.4312,Moyenne,1097
22013,Bourbriac,22,Bretagne,53,6,1,16.67,0,1,1,2,1,0,1,70.6,312.2,1975.3,2,4,2145.0,18766.0,25.0,20.5,1873.0,1312.0,139.0,0.47,0.32,0.08,7.42,0.3298,Faible,1900
22017,,,Bretagne,53,5,1,20.0,0,0,2,1,1,0,1,64.2,339.8,1978.8,3,2,,,,,982.0,649.0,75.0,,0.51,0.15,7.64,,,3613
22027,,,Bretagne,53,6,2,33.33,1,1,1,0,1,1,1,80.8,337.5,1985.3,4,2,,,,,1654.0,1144.0,231.0,,0.36,0.17,13.97,,,3613
22028,Camlez,22,Bretagne,53,8,3,37.5,0,0,3,0,2,3,0,66.2,413.2,1981.5,4,3,845.0,18328.0,26.8,30.7,1056.0,849.0,59.0,3.55,0.76,0.35,5.59,0.4211,Moyenne,1177
22031,Carnoët,22,Bretagne,53,5,3,60.0,0,0,0,0,2,3,0,105.8,476.4,1960.4,3,1,673.0,21101.0,21.3,23.9,2086.0,1573.0,111.0,4.46,0.24,0.19,5.32,0.4785,Moyenne,753
22033,Caurel,22,Bretagne,53,6,2,33.33,0,0,0,2,2,1,1,81.7,388.8,1974.8,2,3,353.0,20399.0,22.7,23.6,4173.0,3378.0,405.0,5.67,0.14,0.06,9.71,0.3813,Moyenne,1512
22038,,,Bretagne,53,5,2,40.0,0,0,1,1,1,2,0,72.6,362.8,1975.4,4,1,,,,,276.0,213.0,17.0,,1.81,0.94,6.16,,,3613
22039,La Chèze,22,Bretagne,53,5,2,40.0,0,0,1,2,0,2,0,70.0,383.8,1979.8,0,5,578.0,17770.0,26.7,30.7,5354.0,4179.0,530.0,3.46,0.09,0.05,9.9,0.4377,Moyenne,1047
22050,Dinan,22,Bretagne,53,9,4,44.44,0,1,1,2,1,3,1,70.0,432.0,1970.6,1,7,14764.0,25998.0,17.0,14.0,411.0,340.0,26.0,0.27,2.19,1.18,6.33,0.3536,Moyenne,1716
22051,,,Bretagne,53,8,3,37.5,0,1,1,2,1,1,2,55.7,387.8,1976.1,4,4,,,,,4804.0,4082.0,568.0,,0.17,0.07,11.82,,,3613
22057,Le Faouët,22,Bretagne,53,7,1,14.29,0,1,2,2,1,1,0,66.6,322.0,1985.0,4,3,412.0,18465.0,27.8,25.1,1206.0,1020.0,177.0,2.43,0.58,0.1,14.68,0.3256,Faible,1930
22061,Glomel,22,Bretagne,53,7,2,28.57,0,0,1,4,0,2,0,76.1,333.9,1973.9,3,4,1440.0,22462.0,21.6,23.5,2329.0,1748.0,144.0,1.39,0.3,0.11,6.18,0.3337,Moyenne,1860
22065,Goudelin,22,Bretagne,53,5,1,20.0,0,0,2,1,1,1,0,55.8,362.4,1981.0,1,3,1751.0,19368.0,24.2,24.3,285.0,235.0,30.0,0.57,1.75,0.43,10.53,0.336,Moyenne,1842
22076,Hénanbihen,22,Bretagne,53,6,3,50.0,1,0,0,1,1,3,0,64.0,433.5,1957.7,3,3,1479.0,16893.0,27.8,30.5,885.0,613.0,93.0,2.03,0.68,0.49,10.51,0.4871,Moyenne,701
22094,Lancieux,22,Bretagne,53,5,1,20.0,0,0,2,1,1,1,0,92.9,393.0,1982.2,3,2,1611.0,22589.0,24.1,22.9,38.0,27.0,2.0,0.62,13.16,3.7,5.26,0.2972,Faible,2131
22095,Landebaëron,22,Bretagne,53,5,0,0.0,1,0,0,2,2,0,0,113.6,267.2,1984.6,4,1,167.0,16943.0,28.1,29.2,1448.0,1086.0,203.0,0.0,0.35,0.0,14.02,0.2847,Faible,2255
22096,Landébia,22,Bretagne,53,5,0,0.0,0,0,1,2,2,0,0,85.3,347.4,1983.8,4,1,461.0,18326.0,26.8,32.1,979.0,718.0,104.0,0.0,0.51,0.0,10.62,0.268,Faible,2440
22106,Langueux,22,Bretagne,53,5,2,40.0,0,0,0,2,1,0,2,92.3,399.2,1973.6,2,2,7939.0,22170.0,18.6,16.1,,,,0.25,,,,0.3819,Moyenne,1506
22109,Lanloup,22,Bretagne,53,5,2,40.0,0,0,1,1,1,2,0,54.8,396.8,1968.2,1,4,252.0,22623.0,17.7,17.9,,,,7.94,,,,0.3832,Moyenne,1497
22110,Lanmérin,22,Bretagne,53,5,4,80.0,0,0,0,0,1,4,0,57.6,497.6,1962.8,4,1,575.0,15498.0,32.7,33.2,,,,6.96,,,,0.6282,Moyenne,268
22121,Lanvollon,22,Bretagne,53,5,2,40.0,1,0,0,0,2,1,1,43.6,501.6,1968.0,1,3,1969.0,19937.0,24.5,21.1,,,,1.02,,,,0.4095,Moyenne,1272
22127,Lézardrieux,22,Bretagne,53,6,1,16.67,0,0,0,3,2,1,0,73.8,382.0,1973.2,1,4,1623.0,18826.0,26.8,26.9,,,,0.62,,,,0.3292,Faible,1904
22129,Loc-Envel,22,Bretagne,53,5,1,20.0,0,0,0,2,2,1,0,55.3,432.6,1971.0,2,2,75.0,19150.0,25.1,29.9,,,,13.33,,,,0.3498,Moyenne,1737
22138,Maël-Pestivien,22,Bretagne,53,6,3,50.0,0,0,1,2,0,3,0,58.4,381.5,1973.8,2,3,362.0,20762.0,21.7,21.2,,,,8.29,,,,0.4459,Moyenne,986
22145,Mégrit,22,Bretagne,53,5,1,20.0,0,0,1,2,1,0,1,87.9,332.2,1977.0,2,2,812.0,24670.0,13.6,11.2,,,,1.23,,,,0.2727,Faible,2378
22150,Le Merzer,22,Bretagne,53,8,2,25.0,0,0,0,3,3,2,0,60.8,475.6,1968.9,4,4,986.0,17059.0,26.2,23.7,,,,2.03,,,,0.3851,Moyenne,1480
22152,Minihy-Tréguier,22,Bretagne,53,5,1,20.0,0,0,2,2,0,1,0,81.2,306.4,1981.8,1,3,1271.0,22347.0,20.7,23.0,,,,0.79,,,,0.3003,Faible,2103
22159,,,Bretagne,53,7,5,71.43,0,0,0,2,0,2,3,94.3,463.9,1955.6,4,3,,,,,,,,,,,,,,3613
22160,Noyal,22,Bretagne,53,7,4,57.14,1,0,1,1,0,3,1,54.0,301.9,1965.9,4,3,985.0,24640.0,22.0,22.4,,,,4.06,,,,0.4241,Moyenne,1159
22167,,,Bretagne,53,7,2,28.57,0,0,3,1,1,0,2,88.4,295.7,1983.3,4,1,,,,,,,,,,,,,,3613
22171,Plaintel,22,Bretagne,53,6,2,33.33,1,0,1,1,1,2,0,52.9,322.0,1975.3,1,5,4602.0,21886.0,22.7,19.9,,,,0.43,,,,0.3588,Moyenne,1675
22174,Pléboulle,22,Bretagne,53,6,1,16.67,0,0,0,3,2,0,1,58.3,445.5,1982.2,1,5,721.0,12600.0,33.9,37.9,,,,1.39,,,,0.4049,Moyenne,1308
22179,Fréhel,22,Bretagne,53,6,1,16.67,1,0,0,0,4,1,0,77.4,503.8,1976.2,3,3,1611.0,22420.0,19.9,17.1,,,,0.62,,,,0.2859,Faible,2242
22187,Plérin,22,Bretagne,53,8,2,25.0,0,0,0,4,2,2,0,57.3,377.1,1966.2,2,5,14425.0,20452.0,22.0,17.8,,,,0.14,,,,0.3425,Moyenne,1797
22195,Pleubian,22,Bretagne,53,6,0,0.0,0,0,1,3,2,0,0,84.3,333.2,1981.0,2,4,2365.0,19924.0,21.7,21.6,,,,0.0,,,,0.2488,Faible,2712
22205,Plorec-sur-Arguenon,22,Bretagne,53,7,2,28.57,0,1,1,2,1,2,0,119.6,349.4,1980.4,2,5,467.0,23146.0,19.6,16.0,,,,4.28,,,,0.328,Faible,1916
22207,Plouaret,22,Bretagne,53,5,0,0.0,1,0,0,4,0,0,0,62.5,198.2,1980.4,3,2,2237.0,23430.0,23.7,19.6,,,,0.0,,,,0.2065,Faible,3194
22219,Plouguenast-Langast,22,Bretagne,53,6,2,33.33,0,1,0,1,2,0,2,86.6,434.2,1979.7,5,0,2380.0,18421.0,28.2,30.7,,,,0.84,,,,0.4009,Moyenne,1344
22224,Ploulec'h,22,Bretagne,53,7,3,42.86,1,0,0,2,1,1,2,71.7,419.3,1969.9,4,3,1598.0,15995.0,26.7,28.7,,,,1.88,,,,0.4692,Moyenne,825
22234,Plouvara,22,Bretagne,53,6,2,33.33,0,1,1,0,2,0,2,95.2,456.8,1972.5,1,3,1144.0,14539.0,30.8,34.2,,,,1.75,,,,0.4485,Moyenne,957
22240,Plumaugat,22,Bretagne,53,5,2,40.0,0,1,0,0,2,0,2,93.0,456.4,1967.2,3,2,1160.0,18601.0,25.4,24.6,,,,1.72,,,,0.4262,Moyenne,1136
22245,Pluzunet,22,Bretagne,53,8,3,37.5,0,0,2,1,2,2,1,51.1,363.2,1977.1,4,3,1017.0,13994.0,32.8,30.9,,,,2.95,,,,0.4728,Moyenne,796
22247,,,Bretagne,53,5,1,20.0,0,1,1,1,1,1,0,72.4,328.0,1977.6,3,2,,,,,,,,,,,,,,3613
22249,Pont-Melvez,22,Bretagne,53,5,0,0.0,0,1,0,2,2,0,0,59.5,296.4,1980.6,1,3,595.0,20512.0,24.1,21.9,,,,0.0,,,,0.2417,Faible,2802
22259,Quévert,22,Bretagne,53,7,3,42.86,0,0,1,1,2,2,1,73.6,480.7,1971.4,1,5,3955.0,17374.0,26.1,29.8,,,,0.76,,,,0.4516,Moyenne,940
22260,Le Quillio,22,Bretagne,53,5,1,20.0,0,1,0,2,1,1,0,86.0,354.2,1968.4,2,3,597.0,14821.0,28.4,32.1,,,,1.68,,,,0.3917,Moyenne,1418
22262,Quintin,22,Bretagne,53,6,1,16.67,0,0,1,2,2,1,0,55.1,469.7,1976.2,1,4,2739.0,22938.0,19.4,16.6,,,,0.37,,,,0.2795,Faible,2311
22263,Le Quiou,22,Bretagne,53,5,0,0.0,0,1,3,0,1,0,0,105.3,297.6,2003.8,1,4,359.0,20736.0,20.8,22.7,,,,0.0,,,,0.239,Faible,2847
22264,La Roche-Jaudy,22,Bretagne,53,5,1,20.0,0,1,1,2,0,1,0,109.1,224.0,1972.0,2,3,2629.0,19617.0,21.3,17.7,,,,0.38,,,,0.3328,Moyenne,1875
22265,Rospez,22,Bretagne,53,5,1,20.0,1,0,0,2,1,0,1,60.8,381.0,1976.4,2,3,1794.0,23920.0,21.5,22.3,,,,0.56,,,,0.2812,Faible,2294
22271,Saint-Adrien,22,Bretagne,53,5,2,40.0,0,0,0,2,1,1,1,69.8,438.4,1959.4,2,3,376.0,22022.0,23.3,27.4,,,,5.32,,,,0.3882,Moyenne,1454
22274,Saint-André-des-Eaux,22,Bretagne,53,5,2,40.0,0,2,1,0,0,2,0,61.3,258.2,1977.8,0,4,409.0,16229.0,26.0,23.6,,,,4.89,,,,0.4575,Moyenne,904
22276,Saint-Bihy,22,Bretagne,53,5,0,0.0,0,0,0,2,3,0,0,55.0,374.2,1987.4,2,3,267.0,17445.0,22.4,24.3,,,,0.0,,,,0.2786,Faible,2323
22280,Saint-Carné,22,Bretagne,53,7,4,57.14,0,0,1,1,1,3,1,94.7,416.4,1970.6,3,4,1167.0,16998.0,29.2,29.8,,,,3.43,,,,0.5156,Moyenne,556
22291,Saint-Gildas,22,Bretagne,53,6,3,50.0,0,0,0,1,2,2,1,88.1,420.7,1964.8,2,2,248.0,19128.0,23.0,25.3,,,,12.1,,,,0.469,Moyenne,827
22298,,,Bretagne,53,5,1,20.0,0,0,0,3,1,1,0,94.6,337.0,1977.2,2,2,,,,,,,,,,,,,,3613
22300,Saint-Hervé,22,Bretagne,53,6,3,50.0,0,0,1,2,0,1,2,70.8,408.2,1970.7,5,1,425.0,20453.0,25.2,21.9,,,,7.06,,,,0.4486,Moyenne,956
22307,Saint-Julien,22,Bretagne,53,6,1,16.67,1,0,1,1,2,1,0,58.7,379.7,1982.5,4,1,2101.0,19747.0,25.6,26.9,,,,0.48,,,,0.318,Faible,1975
22313,Saint-Martin-des-Prés,22,Bretagne,53,5,2,40.0,0,0,1,0,2,1,1,87.2,432.2,1980.2,4,1,319.0,19893.0,27.4,25.5,,,,6.27,,,,0.4146,Moyenne,1225
22316,Saint-Mayeux,22,Bretagne,53,5,2,40.0,0,0,0,2,1,1,1,56.5,370.8,1959.0,2,3,454.0,20268.0,23.5,26.4,,,,4.41,,,,0.4085,Moyenne,1280
22319,Saint-Michel-en-Grève,22,Bretagne,53,7,1,14.29,1,1,1,2,1,1,0,90.5,260.7,1982.6,3,3,447.0,17730.0,27.1,32.0,,,,2.24,,,,0.3343,Moyenne,1853
22331,Sainte-Tréphine,22,Bretagne,53,5,1,20.0,1,0,2,0,1,1,0,92.9,336.2,1995.0,3,1,189.0,21127.0,24.1,28.1,,,,5.29,,,,0.3189,Faible,1964
22335,Senven-Léhart,22,Bretagne,53,7,3,42.86,0,1,0,1,2,2,1,58.0,418.9,1969.4,4,3,235.0,21308.0,20.0,19.2,,,,12.77,,,,0.4147,Moyenne,1224
22338,Squiffiec,22,Bretagne,53,9,2,22.22,0,1,3,2,1,2,0,73.2,285.6,1978.7,3,5,747.0,14364.0,32.2,31.7,,,,2.68,,,,0.407,Moyenne,1293
22340,Tonquédec,22,Bretagne,53,5,2,40.0,0,0,0,0,3,1,1,72.8,464.0,1963.6,3,2,1201.0,21461.0,24.3,24.4,,,,1.67,,,,0.3917,Moyenne,1418
22346,Trédaniel,22,Bretagne,53,5,2,40.0,0,1,1,0,1,2,0,74.6,369.6,1976.6,3,2,906.0,18125.0,26.0,25.5,,,,2.21,,,,0.4324,Moyenne,1086
22353,Trégastel,22,Bretagne,53,5,2,40.0,0,0,0,0,3,2,0,111.1,578.8,1974.0,2,2,2524.0,23247.0,20.2,20.0,,,,0.79,,,,0.3694,Moyenne,1608
22366,Trémel,22,Bretagne,53,5,1,20.0,0,0,1,2,1,0,1,56.9,384.2,1974.6,0,4,409.0,19367.0,26.1,24.4,,,,2.44,,,,0.3376,Moyenne,1825
22368,Tréméreuc,22,Bretagne,53,6,4,66.67,0,0,0,2,0,2,2,84.2,449.7,1961.7,2,4,729.0,20062.0,21.1,18.3,,,,5.49,,,,0.5186,Moyenne,548
22369,Trémeur,22,Bretagne,53,5,4,80.0,0,0,0,1,0,2,2,101.7,503.8,1950.0,1,3,809.0,17503.0,25.3,25.1,,,,4.94,,,,0.6023,Moyenne,333
22376,Trévé,22,Bretagne,53,7,3,42.86,1,0,1,1,1,2,1,88.3,362.4,1968.6,4,2,1681.0,18389.0,22.5,25.4,,,,1.78,,,,0.4402,Moyenne,1026
29018,Brennilis,29,Bretagne,53,5,1,20.0,1,0,0,1,2,0,1,91.6,387.4,1973.8,3,2,454.0,24238.0,15.9,17.4,57.0,43.0,4.0,2.2,8.77,2.33,7.02,0.2787,Faible,2322
29019,Brest,29,Bretagne,53,5,1,20.0,2,0,1,1,0,0,1,85.8,219.6,1977.0,2,3,142346.0,26696.0,11.1,11.0,1450.0,962.0,146.0,0.01,0.34,0.1,10.07,0.2472,Faible,2732
29020,Briec,29,Bretagne,53,5,2,40.0,0,0,2,0,1,0,2,63.4,378.0,1964.2,2,3,5816.0,15124.0,30.0,35.7,5515.0,4419.0,632.0,0.34,0.09,0.05,11.46,0.4669,Moyenne,842
29022,Camaret-sur-Mer,29,Bretagne,53,5,1,20.0,0,0,1,0,3,1,0,94.6,430.8,1979.2,2,3,2494.0,23334.0,21.2,17.0,1287.0,976.0,146.0,0.4,0.39,0.1,11.34,0.288,Faible,2221
29024,Carhaix-Plouguer,29,Bretagne,53,7,1,14.29,0,1,0,3,2,1,0,70.3,343.4,1979.4,1,5,7412.0,28082.0,10.3,11.6,7124.0,5739.0,855.0,0.13,0.1,0.02,12.0,0.2078,Faible,3179
29027,Châteauneuf-du-Faou,29,Bretagne,53,5,2,40.0,1,0,1,1,0,1,1,58.4,310.4,1969.6,3,1,3651.0,23930.0,19.7,16.0,374.0,260.0,20.0,0.55,1.34,0.77,5.35,0.361,Moyenne,1663
29035,Coat-Méal,29,Bretagne,53,5,1,20.0,0,1,0,2,1,1,0,71.3,319.0,1981.0,3,1,1133.0,18812.0,28.9,31.2,349.0,227.0,48.0,0.88,1.43,0.44,13.75,0.3429,Moyenne,1793
29038,Commana,29,Bretagne,53,5,1,20.0,0,0,1,2,1,1,0,52.5,419.6,1979.6,2,3,983.0,25847.0,14.6,15.0,512.0,398.0,75.0,1.02,0.98,0.25,14.65,0.2583,Faible,2575
