CODGEO,NOM_COMMUNE,REVENU_MEDIAN,TAUX_PAUVRETE,MENAGES_PAUVRES
77089,La Chapelle-Rablais,25614.0,18.6,17.2
77090,La Chapelle-Saint-Sulpice,30130.0,13.7,16.3
77091,Les Chapelles-Bourbon,15671.0,27.5,23.7
77093,La Chapelle-Moutils,19971.0,21.7,18.9
77094,Charmentray,18024.0,29.7,24.8
77095,Charny,22004.0,18.1,16.6
77096,Chartrettes,19150.0,24.5,27.0
77097,Chartronges,23507.0,19.0,19.3
77098,Châteaubleau,20060.0,22.6,23.0
77099,Château-Landon,17833.0,29.0,34.6
77100,Le Châtelet-en-Brie,23003.0,18.1,16.3
77101,Châtenay-sur-Seine,20002.0,22.4,19.3
77102,Châtenoy,21513.0,23.0,20.9
77103,Châtillon-la-Borde,18678.0,24.6,29.4
77104,Châtres,24311.0,17.9,15.5
77106,Chauffry,16667.0,30.7,28.5
77107,Chaumes-en-Brie,26123.0,14.4,16.5
77108,Chelles,27998.0,13.5,11.5
77109,Chenoise-Cucharmoy,19778.0,22.9,19.7
77110,Chenou,29097.0,14.7,12.1
77111,Chessy,31143.0,7.5,8.5
77112,Chevrainvilliers,19251.0,24.7,22.2
77113,Chevru,20114.0,24.2,24.9
77114,Chevry-Cossigny,25452.0,19.6,21.3
77115,Chevry-en-Sereine,26496.0,19.5,19.0
77116,Choisy-en-Brie,17255.0,25.7,23.6
77117,Citry,30181.0,11.1,11.5
77118,Claye-Souilly,25274.0,19.1,19.1
77119,Clos-Fontaine,18754.0,23.4,27.8
77120,Cocherel,23661.0,22.5,22.3
77121,Collégien,23269.0,17.3,17.7
77122,Combs-la-Ville,27194.0,12.8,14.3
77123,Compans,23245.0,20.4,23.6
77124,Conches-sur-Gondoire,21835.0,20.1,20.2
77125,Condé-Sainte-Libiaire,26360.0,14.7,12.3
77126,Congis-sur-Thérouanne,19636.0,22.5,23.0
77127,Coubert,27461.0,15.9,16.4
77128,Couilly-Pont-aux-Dames,22792.0,17.8,14.6
77129,Coulombs-en-Valois,18898.0,25.0,24.2
77130,Coulommes,19292.0,25.4,24.5
77131,Coulommiers,24743.0,17.2,17.5
77132,Coupvray,27870.0,13.7,14.8
77133,Courcelles-en-Bassée,29948.0,9.1,9.7
77134,Courchamp,17542.0,31.0,34.0
77135,Courpalay,25088.0,15.3,13.6
77136,Courquetaine,29263.0,12.8,13.9
77137,Courtacon,23423.0,22.5,25.8
77138,Courtomer,21665.0,20.1,16.5
77139,Courtry,20204.0,23.0,22.1
77140,Coutençon,20195.0,24.2,20.1
77141,Coutevroult,24085.0,20.1,17.9
77142,Crécy-la-Chapelle,26075.0,14.5,12.5
77143,Crégy-lès-Meaux,26658.0,17.6,15.2
77144,Crèvecœur-en-Brie,25271.0,15.0,13.7
77145,Crisenoy,27224.0,14.6,15.8
77146,Croissy-Beaubourg,26665.0,17.2,19.1
77147,La Croix-en-Brie,18823.0,23.5,22.6
77148,Crouy-sur-Ourcq,21567.0,23.8,21.0
77150,Cuisy,30134.0,9.5,8.8
77151,Dagny,22721.0,19.3,22.4
77152,Dammarie-les-Lys,23149.0,20.6,18.0
77153,Dammartin-en-Goële,23811.0,20.0,23.5
77154,Dammartin-sur-Tigeaux,20156.0,21.3,19.2
77155,Dampmart,25582.0,16.7,16.2
77156,Darvault,29839.0,12.0,9.7
77157,Dhuisy,18288.0,25.8,29.8
77158,Diant,23886.0,18.4,19.3
77159,Donnemarie-Dontilly,23673.0,19.3,17.5
77161,Dormelles,24669.0,17.3,17.5
77162,Doue,17514.0,27.8,22.8
77163,Douy-la-Ramée,17518.0,24.7,25.8
77164,Échouboulains,21252.0,26.3,23.0
77165,Les Écrennes,20164.0,24.6,21.0
77167,Égligny,23615.0,15.5,15.7
77168,Égreville,18278.0,26.6,31.1
77169,Émerainville,29384.0,14.5,17.2
77171,Esbly,26488.0,13.2,12.9
77172,Esmans,14880.0,28.6,27.3
77173,Étrépilly,19655.0,26.1,22.6
77174,Everly,26618.0,11.0,11.4
77175,Évry-Grégy-sur-Yerre,28125.0,9.8,7.9
77176,Faremoutiers,29033.0,11.2,11.8
77177,Favières,19400.0,22.5,21.8
77178,Faÿ-lès-Nemours,18172.0,23.1,27.3
77179,Féricy,23967.0,17.5,17.1
77180,Férolles-Attilly,19555.0,24.6,24.7
77181,Ferrières-en-Brie,23486.0,21.9,25.0
77182,La Ferté-Gaucher,24033.0,21.5,25.6
77183,La Ferté-sous-Jouarre,27884.0,16.7,17.7
77184,Flagy,27638.0,13.6,15.8
77185,Fleury-en-Bière,21395.0,24.1,26.6
77186,Fontainebleau,29097.0,14.1,16.3
77187,Fontaine-Fourches,27890.0,13.4,16.0
77188,Fontaine-le-Port,22009.0,21.6,18.3
77190,Fontains,24707.0,19.5,23.1
77191,Fontenailles,23510.0,16.5,15.1
77192,Fontenay-Trésigny,20794.0,22.2,18.5
77193,Forfry,24436.0,21.0,18.4
77194,Forges,32142.0,5.9,4.8
77195,Fouju,20118.0,21.1,22.7
77196,Fresnes-sur-Marne,20894.0,22.1,20.6
77197,Frétoy,20249.0,20.7,23.8
77198,Fromont,19508.0,23.8,28.5
77199,Fublaines,14880.0,30.6,29.5
77200,Garentreville,25891.0,16.7,18.3
77201,Gastins,21105.0,17.4,20.6
77202,La Genevraye,24323.0,17.4,19.7
77203,Germigny-l'Évêque,20136.0,22.6,24.2
77204,Germigny-sous-Coulombs,22550.0,19.3,19.6
77205,Gesvres-le-Chapitre,24914.0,20.6,18.6
77206,Giremoutiers,23914.0,19.5,21.3
77207,Gironville,21342.0,21.4,20.2
77208,Gouaix,20410.0,23.2,23.9
77209,Gouvernes,26098.0,14.6,13.5
77210,La Grande-Paroisse,23349.0,17.6,19.6
77211,Grandpuits-Bailly-Carrois,23340.0,15.6,14.2
77212,Gravon,21325.0,22.0,17.9
77214,Gressy,23485.0,14.3,14.4
77215,Gretz-Armainvilliers,25265.0,15.5,16.1
77216,Grez-sur-Loing,17351.0,25.1,27.2
77217,Grisy-Suisnes,31214.0,7.7,7.2
77218,Grisy-sur-Seine,21180.0,21.2,19.3
77219,Guérard,29210.0,9.8,9.7
77220,Guercheville,20936.0,23.8,24.7
77221,Guermantes,24742.0,16.4,15.3
77222,Guignes,24863.0,17.1,17.3
77223,Gurcy-le-Châtel,19356.0,25.1,27.2
77224,Hautefeuille,28062.0,14.1,13.5
77225,La Haute-Maison,23633.0,17.5,20.5
77226,Héricy,23403.0,17.6,20.9
77227,Hermé,29429.0,9.3,10.0
77228,Hondevilliers,24877.0,20.0,18.9
77229,La Houssaye-en-Brie,27615.0,12.1,12.1
77230,Ichy,19308.0,26.6,22.2
77231,Isles-les-Meldeuses,14880.0,29.3,25.9
77232,Isles-lès-Villenoy,22083.0,20.6,22.9
77233,Iverny,20080.0,25.4,23.3
77234,Jablines,23922.0,18.1,18.7
77235,Jaignes,23703.0,17.3,19.0
77236,Jaulnes,26232.0,11.4,11.9
77237,Jossigny,20982.0,22.2,24.0
77238,Jouarre,23594.0,21.1,20.6
77239,Jouy-le-Châtel,25815.0,17.4,15.5
77240,Jouy-sur-Morin,18082.0,27.8,28.8
77241,Juilly,25195.0,18.5,14.9
77242,Jutigny,27187.0,14.4,13.2
77243,Lagny-sur-Marne,22479.0,25.6,30.3
77244,Larchant,24888.0,18.1,17.2
77245,Laval-en-Brie,20143.0,21.0,21.1
77246,Léchelle,24072.0,16.6,14.9
77247,Lescherolles,22278.0,20.8,21.0
77248,Lesches,17690.0,26.3,30.3
77249,Lésigny,24529.0,18.8,15.8
77250,Leudon-en-Brie,28021.0,14.2,12.4
77251,Lieusaint,25002.0,17.9,16.5
77252,Limoges-Fourches,23725.0,22.5,24.8
77253,Lissy,14880.0,29.4,29.2
77254,Liverdy-en-Brie,19685.0,23.0,19.8
77255,Livry-sur-Seine,26558.0,16.5,19.6
77256,Lizines,24971.0,20.2,22.1
77257,Lizy-sur-Ourcq,31101.0,13.0,12.6
77258,Lognes,26637.0,12.9,14.6
77259,Longperrier,27541.0,14.8,16.4
77260,Longueville,21103.0,25.0,21.3
77261,Lorrez-le-Bocage-Préaux,23904.0,16.4,15.5
77262,Louan-Villegruis-Fontaine,22706.0,20.5,18.7
77263,Luisetaines,19849.0,22.9,26.4
77264,Lumigny-Nesles-Ormeaux,24968.0,16.2,15.9
77265,Luzancy,24645.0,19.9,16.3
77266,Machault,19989.0,22.1,23.0
77267,La Madeleine-sur-Loing,21051.0,21.9,25.3
77268,Magny-le-Hongre,22459.0,22.9,25.9
77269,Maincy,22865.0,17.9,17.0
77270,Maisoncelles-en-Brie,25887.0,19.5,19.1
77271,Maisoncelles-en-Gâtinais,25792.0,15.2,15.5
77272,Maison-Rouge,21814.0,22.3,22.1
77273,Marchémoret,20104.0,24.2,25.7
77274,Marcilly,24365.0,17.7,18.5
77275,Les Marêts,22306.0,21.3,19.7
77276,Mareuil-lès-Meaux,25696.0,15.4,16.4
77277,Marles-en-Brie,24001.0,15.8,18.3
77278,Marolles-en-Brie,20462.0,21.4,24.4
77279,Marolles-sur-Seine,15200.0,30.3,29.9
77280,Mary-sur-Marne,24440.0,17.9,18.2
77281,Mauperthuis,15786.0,28.8,31.9
77282,Mauregard,25634.0,18.2,15.9
77283,May-en-Multien,17658.0,28.6,29.4
77284,Meaux,29941.0,13.4,13.5
77285,Le Mée-sur-Seine,31166.0,11.7,12.7
77286,Meigneux,23676.0,20.2,20.5
77287,Meilleray,27437.0,15.3,16.9
77288,Melun,29496.0,15.2,12.3
77289,Melz-sur-Seine,20606.0,22.9,24.4
77290,Méry-sur-Marne,28782.0,10.5,9.4
77291,Le Mesnil-Amelot,24467.0,16.0,18.2
77292,Messy,22666.0,24.0,28.7
77293,Misy-sur-Yonne,23490.0,21.5,24.7
77294,Mitry-Mory,22005.0,23.6,24.6
77295,Moisenay,24659.0,20.4,22.8
77296,Moissy-Cramayel,25770.0,14.2,12.8
77297,Mondreville,19201.0,28.6,31.5
77298,Mons-en-Montois,22793.0,19.8,21.3
77300,Montceaux-lès-Meaux,25344.0,15.7,13.0
77301,Montceaux-lès-Provins,23718.0,21.5,24.2
77302,Moncourt-Fromonville,23784.0,18.7,18.2
77303,Montdauphin,21833.0,23.2,24.7
77304,Montenils,22985.0,20.8,24.6
77305,Montereau-Fault-Yonne,22481.0,17.6,14.3
77306,Montereau-sur-le-Jard,18237.0,27.3,28.6
77307,Montévrain,26550.0,15.0,13.6
77308,Montgé-en-Goële,21762.0,18.3,15.4
77309,Monthyon,31518.0,8.1,6.7
77310,Montigny-le-Guesdier,25553.0,19.1,21.4
77311,Montigny-Lencoup,27560.0,13.8,12.9
77312,Montigny-sur-Loing,24274.0,17.2,20.6
77313,Montmachoux,21394.0,22.1,25.5
77314,Montolivet,22147.0,19.6,21.9
77315,Montry,25177.0,14.1,11.8
77316,Moret-Loing-et-Orvanne,25453.0,14.8,13.0
77317,Mormant,28548.0,14.6,12.4
77318,Mortcerf,18634.0,26.1,25.2
77319,Mortery,17403.0,25.1,29.0
77320,Mouroux,29327.0,10.6,9.6
77321,Mousseaux-lès-Bray,18097.0,25.6,24.2
77322,Moussy-le-Neuf,30748.0,10.5,9.5
77323,Moussy-le-Vieux,15174.0,27.3,27.3
77325,Mouy-sur-Seine,23701.0,17.3,14.7
77326,Nandy,21219.0,23.8,27.6
77327,Nangis,24807.0,16.6,19.8
77328,Nanteau-sur-Essonne,22379.0,17.3,17.2
77329,Nanteau-sur-Lunain,25781.0,18.0,16.0
77330,Nanteuil-lès-Meaux,27015.0,17.0,16.6
77331,Nanteuil-sur-Marne,17030.0,29.1,33.3
77332,Nantouillet,24313.0,20.1,19.9
77333,Nemours,23756.0,22.1,18.8
77335,Chauconin-Neufmontiers,22742.0,20.4,21.2
77336,Neufmoutiers-en-Brie,23284.0,18.3,20.5
77337,Noisiel,27443.0,15.4,13.7
77338,Noisy-Rudignon,25408.0,16.9,15.7
77339,Noisy-sur-École,20379.0,23.7,20.5
77340,Nonville,22900.0,21.6,23.7
77341,Noyen-sur-Seine,27680.0,15.5,13.1
77342,Obsonville,25361.0,15.4,16.3
77343,Ocquerre,20135.0,21.9,18.8
77344,Oissery,28265.0,15.0,14.8
77345,Orly-sur-Morin,27375.0,16.3,16.0
77347,Les Ormes-sur-Voulzie,24747.0,16.2,13.0
77348,Ormesson,18848.0,26.5,27.3
77349,Othis,26519.0,11.3,9.2
77350,Ozoir-la-Ferrière,26387.0,14.0,14.0
77352,Ozouer-le-Voulgis,19297.0,23.3,18.7
77353,Paley,24796.0,21.6,21.9
77354,Pamfou,23657.0,18.1,16.1
77355,Paroy,25601.0,16.7,14.0
77356,Passy-sur-Seine,24886.0,17.2,19.3
77357,Pécy,23825.0,19.4,19.5
77358,Penchard,22579.0,20.8,23.2
77359,Perthes,26063.0,13.8,11.5
77360,Pézarches,23019.0,21.1,24.2
77361,Pierre-Levée,20861.0,19.8,18.2
77363,Le Pin,22600.0,23.1,23.1
77364,Le Plessis-aux-Bois,22067.0,21.1,25.2
77365,Le Plessis-Feu-Aussoux,27702.0,15.0,13.5
77366,Le Plessis-l'Évêque,20890.0,22.6,22.9
77367,Le Plessis-Placy,16050.0,30.5,34.8
77368,Poigny,24833.0,16.6,15.3
77369,Poincy,26445.0,16.5,15.8
77370,Poligny,24209.0,18.3,20.4
77371,Pommeuse,25429.0,16.2,16.6
77372,Pomponne,25549.0,17.4,16.5
77373,Pontault-Combault,25051.0,16.0,15.0
77374,Pontcarré,25736.0,16.5,16.0
77376,Précy-sur-Marne,26717.0,13.2,12.1
77377,Presles-en-Brie,28125.0,12.1,12.0
77378,Pringy,24178.0,19.6,23.1
77379,Provins,26403.0,16.3,18.3
77380,Puisieux,29078.0,11.4,12.3
77381,Quiers,20658.0,22.3,19.5
77382,Quincy-Voisins,25918.0,18.5,19.4
77383,Rampillon,22182.0,21.8,25.0
77384,Réau,21521.0,24.2,19.5
77385,Rebais,25321.0,19.2,16.9
77386,Recloses,22914.0,20.3,16.3
77387,Remauville,15815.0,26.3,26.7
77388,Reuil-en-Brie,18108.0,24.7,27.3
77389,La Rochette,23376.0,22.5,22.0
77390,Roissy-en-Brie,32398.0,12.0,14.0
77391,Rouilly,23926.0,23.4,20.0
77392,Rouvres,22828.0,17.3,15.2
77393,Rozay-en-Brie,24336.0,17.9,19.4
77394,Rubelles,25365.0,20.2,22.5
77395,Rumont,20390.0,21.3,25.1
77396,Rupéreux,18254.0,25.3,21.7
77397,Saâcy-sur-Marne,21351.0,19.7,22.7
77398,Sablonnières,31704.0,10.5,10.8
77400,Saint-Augustin,23452.0,17.3,17.3
77401,Sainte-Aulde,18740.0,23.6,25.4
77402,Saint-Barthélemy,27479.0,14.1,14.3
77403,Saint-Brice,22508.0,21.2,23.2
77404,Sainte-Colombe,24202.0,17.8,18.1
77405,Saint-Cyr-sur-Morin,25613.0,14.6,16.6
77406,Saint-Denis-lès-Rebais,26958.0,14.2,12.9
77407,Saint-Fargeau-Ponthierry,25740.0,17.2,19.1
77408,Saint-Fiacre,19246.0,26.2,21.7
77409,Saint-Germain-Laval,26392.0,14.4,15.4
77410,Saint-Germain-Laxis,23297.0,19.2,20.3
77411,Saint-Germain-sous-Doue,24374.0,19.8,17.3
77412,Saint-Germain-sur-École,30028.0,9.3,10.4
77413,Saint-Germain-sur-Morin,21432.0,22.8,25.3
77414,Saint-Hilliers,19947.0,24.2,26.6
77415,Saint-Jean-les-Deux-Jumeaux,15632.0,30.7,33.7
77416,Saint-Just-en-Brie,19110.0,25.3,29.9
77417,Saint-Léger,26356.0,14.2,16.3
77418,Saint-Loup-de-Naud,19399.0,27.7,33.2
77419,Saint-Mammès,25037.0,16.8,19.2
77420,Saint-Mard,25479.0,14.8,12.3
77421,Saint-Mars-Vieux-Maisons,29839.0,12.8,14.7
77423,Saint-Martin-des-Champs,17739.0,27.9,23.9
77424,Saint-Martin-du-Boschet,25195.0,18.0,16.5
77425,Saint-Martin-en-Bière,28085.0,13.9,13.3
77426,Saint-Méry,16528.0,25.0,24.5
77427,Saint-Mesmes,22021.0,22.9,18.9
77428,Saint-Ouen-en-Brie,24105.0,19.4,22.7
77429,Saint-Ouen-sur-Morin,29425.0,8.1,8.4
77430,Saint-Pathus,27497.0,14.0,12.7
77431,Saint-Pierre-lès-Nemours,25640.0,15.5,15.5
77432,Saint-Rémy-de-la-Vanne,25808.0,15.1,16.7
77433,Beautheil-Saints,24419.0,21.1,24.9
77434,Saint-Sauveur-lès-Bray,26564.0,18.3,15.8
77435,Saint-Sauveur-sur-École,16879.0,25.0,24.9
77436,Saint-Siméon,21526.0,22.6,19.4
77437,Saint-Soupplets,24021.0,17.3,20.1
77438,Saint-Thibault-des-Vignes,22214.0,23.8,28.3
77439,Salins,27972.0,9.9,9.5
77440,Sammeron,22734.0,19.1,18.9
77441,Samois-sur-Seine,21675.0,20.2,23.7
77442,Samoreau,29462.0,11.8,12.9
77443,Sancy,28167.0,12.9,11.3
77444,Sancy-lès-Provins,24008.0,20.6,21.5
77445,Savigny-le-Temple,24024.0,23.4,22.8
77446,Savins,18997.0,26.2,22.9
77447,Seine-Port,15738.0,34.4,29.6
77448,Sept-Sorts,27829.0,16.9,15.9
77449,Serris,21684.0,24.3,25.3
77450,Servon,30806.0,9.8,11.5
77451,Signy-Signets,32314.0,8.2,7.2
77452,Sigy,20644.0,22.5,19.8
77453,Sivry-Courtry,25440.0,19.0,20.3
77454,Sognolles-en-Montois,25520.0,15.1,17.6
77455,Soignolles-en-Brie,27086.0,14.3,14.1
77456,Soisy-Bouy,14880.0,32.0,27.6
77457,Solers,26705.0,16.5,14.5
77458,Souppes-sur-Loing,21028.0,22.7,25.3
77459,Sourdun,20657.0,25.6,27.7
77460,Tancrou,23591.0,19.4,15.9
77461,Thénisy,14880.0,32.1,33.4
77462,Thieux,21122.0,19.8,23.2
77463,Thomery,23469.0,20.8,20.8
77464,Thorigny-sur-Marne,27317.0,13.1,12.6
77465,Thoury-Férottes,20895.0,23.8,21.8
77466,Tigeaux,21582.0,19.3,15.8
77467,La Tombe,18200.0,28.1,23.2
77468,Torcy,24991.0,19.4,22.0
77469,Touquin,24655.0,17.5,14.9
77470,Tournan-en-Brie,24264.0,17.8,17.5
77471,Tousson,21574.0,16.8,16.1
77472,La Trétoire,25114.0,19.9,21.0
77473,Treuzy-Levelay,25829.0,12.5,11.9
77474,Trilbardou,15812.0,29.5,26.3
77475,Trilport,31770.0,12.4,13.1
77476,Trocy-en-Multien,24720.0,18.6,15.6
77477,Ury,16579.0,28.7,24.8
77478,Ussy-sur-Marne,24635.0,11.1,10.7
77479,Vaires-sur-Marne,23714.0,21.1,24.7
77480,Valence-en-Brie,18383.0,23.5,19.6
77481,Vanvillé,25515.0,15.3,14.3
77482,Varennes-sur-Seine,22342.0,21.2,21.8
77483,Varreddes,29314.0,13.6,12.4
77484,Vaucourtois,17324.0,27.2,27.1
77485,Le Vaudoué,18783.0,22.3,23.0
77486,Vaudoy-en-Brie,26438.0,14.1,16.8
77487,Vaux-le-Pénil,29048.0,15.2,12.4
77489,Vaux-sur-Lunain,22292.0,23.9,20.3
77490,Vendrest,25053.0,16.3,17.6
77492,Verdelot,23775.0,16.5,18.8
77493,Verneuil-l'Étang,18104.0,24.4,26.3
77494,Vernou-la-Celle-sur-Seine,26155.0,18.5,20.9
77495,Vert-Saint-Denis,25189.0,19.7,20.5
77496,Vieux-Champagne,23781.0,17.5,17.5
77498,Vignely,31395.0,8.8,10.0
77500,Villebéon,21193.0,24.0,19.5
77501,Villecerf,22889.0,20.6,23.4
77504,Villemaréchal,29337.0,12.2,10.3
77505,Villemareuil,18747.0,27.8,29.3
77506,Villemer,24873.0,16.4,17.1
77507,Villenauxe-la-Petite,24441.0,18.2,15.1
77508,Villeneuve-le-Comte,20940.0,25.9,27.2
77509,Villeneuve-les-Bordes,23039.0,21.7,21.1
77510,Villeneuve-Saint-Denis,19626.0,20.5,18.0
77511,Villeneuve-sous-Dammartin,24648.0,18.5,20.8
77512,Villeneuve-sur-Bellot,27607.0,15.2,12.9
77513,Villenoy,30310.0,11.8,12.2
77514,Villeparisis,24895.0,19.1,19.5
77515,Villeroy,28781.0,11.8,11.3
77516,Ville-Saint-Jacques,21927.0,19.8,17.8
77517,Villevaudé,27513.0,16.3,17.2
77518,Villiers-en-Bière,17107.0,23.5,22.2
77519,Villiers-Saint-Georges,20771.0,24.5,20.1
77520,Villiers-sous-Grez,24692.0,17.0,16.8
77521,Villiers-sur-Morin,25258.0,17.2,16.4
77522,Villiers-sur-Seine,18525.0,24.6,29.2
77523,Villuis,25519.0,17.2,18.3
77524,Vimpelles,26617.0,20.7,17.1
77525,Vinantes,23758.0,21.2,18.2
77526,Vincy-Manœuvre,29159.0,12.7,10.9
77527,Voinsles,24730.0,21.5,18.2
77528,Voisenon,19389.0,27.4,24.1
77529,Voulangis,19968.0,22.9,18.8
77530,Voulton,23364.0,19.9,19.4
77531,Voulx,23788.0,18.6,20.4
77532,Vulaines-lès-Provins,25458.0,13.2,13.0
77533,Vulaines-sur-Seine,27805.0,15.0,12.4
77534,Yèbles,23479.0,18.2,17.3
78003,Ablis,27598.0,13.6,15.2
78005,Achères,31943.0,8.4,7.5
78006,Adainville,24950.0,16.3,17.3
78007,Aigremont,25751.0,17.2,15.5
78009,Allainville,33563.0,7.3,6.7
78010,Les Alluets-le-Roi,18993.0,25.6,30.0
78013,Andelu,20683.0,22.2,20.6
78015,Andrésy,30485.0,10.1,8.1
78020,Arnouville-lès-Mantes,27432.0,13.3,13.7
78029,Aubergenville,29712.0,11.8,11.4
78030,Auffargis,22801.0,20.7,16.6
78031,Auffreville-Brasseuil,21258.0,19.3,18.2
78033,Aulnay-sur-Mauldre,26547.0,16.6,15.1
78034,Auteuil,28724.0,16.4,18.0
78036,Autouillet,28919.0,12.5,11.3
78043,Bailly,23672.0,19.5,18.8
78048,Bazainville,25097.0,19.1,20.7
78049,Bazemont,26705.0,19.1,19.9
78050,Bazoches-sur-Guyonne,24850.0,15.9,18.0
78053,Béhoust,31286.0,8.0,7.4
78057,Bennecourt,27551.0,13.8,16.2
78062,Beynes,24086.0,18.6,21.5
78068,Blaru,34059.0,7.2,8.5
78070,Boinville-en-Mantois,34650.0,6.5,6.6
78071,Boinville-le-Gaillard,23975.0,20.1,16.2
78072,Boinvilliers,22125.0,16.6,16.1
78073,Bois-d'Arcy,25003.0,18.1,16.6
78076,Boissets,19090.0,22.7,23.1
78077,La Boissière-École,28030.0,15.1,13.8
78082,Boissy-Mauvoisin,25500.0,17.7,19.5
78084,Boissy-sans-Avoir,21580.0,21.8,21.8
78087,Bonnelles,24832.0,21.7,17.9
78089,Bonnières-sur-Seine,30146.0,13.0,12.1
78090,Bouafle,26591.0,14.6,17.2
78092,Bougival,21666.0,21.3,19.5
78096,Bourdonné,31075.0,7.4,7.8
78104,Breuil-Bois-Robert,23870.0,18.5,14.9
78107,Bréval,26975.0,17.2,16.6
78108,Les Bréviaires,33295.0,4.6,5.3
78113,Brueil-en-Vexin,26977.0,18.0,16.2
78117,Buc,25670.0,18.1,21.7
78118,Buchelay,25274.0,15.5,16.7
78120,Bullion,29422.0,15.1,14.0
78123,Carrières-sous-Poissy,28387.0,12.3,10.8
78124,Carrières-sur-Seine,30259.0,8.6,10.3
78125,La Celle-les-Bordes,24868.0,18.1,14.6
78126,La Celle-Saint-Cloud,26807.0,12.8,11.8
78128,Cernay-la-Ville,26602.0,16.7,14.1
