CODGEO,DEP,NB_LOGEMENTS,NB_RP,NB_LOGVAC,NB_MAISON,NB_APPART
77074,77,714.0,523.0,46.0,337.0,300.0
77075,77,150.0,125.0,19.0,60.0,53.0
77076,77,24169.0,17573.0,1855.0,11488.0,9622.0
77077,77,1622.0,1257.0,175.0,808.0,729.0
77078,77,14791.0,12546.0,1435.0,6451.0,7340.0
77079,77,24464.0,20786.0,2560.0,12449.0,7695.0
77080,77,624.0,487.0,60.0,291.0,158.0
77081,77,4958.0,3433.0,526.0,2108.0,1945.0
77082,77,21.0,14.0,2.0,4.0,9.0
77083,77,834.0,594.0,115.0,300.0,178.0
77084,77,2867.0,1863.0,393.0,720.0,1102.0
77085,77,264.0,190.0,36.0,97.0,79.0
77086,77,613.0,414.0,83.0,255.0,235.0
77087,77,3564.0,2895.0,420.0,1909.0,1025.0
77088,77,5243.0,4122.0,386.0,1977.0,2369.0
77089,77,5822.0,4624.0,632.0,1687.0,3207.0
77090,77,3589.0,2907.0,345.0,1739.0,1186.0
77091,77,398.0,311.0,51.0,174.0,205.0
77092,77,1979.0,1368.0,204.0,443.0,532.0
77093,77,1449.0,1205.0,155.0,372.0,587.0
77094,77,2781.0,2093.0,236.0,848.0,936.0
77095,77,161.0,110.0,10.0,57.0,70.0
77096,77,3735.0,3074.0,476.0,953.0,1217.0
77097,77,3882.0,2720.0,228.0,1689.0,1762.0
77098,77,148717.0,102840.0,12355.0,56589.0,46298.0
77099,77,2248.0,1789.0,168.0,717.0,1077.0
78001,78,2102.0,1604.0,170.0,536.0,507.0
78002,78,4990.0,3712.0,668.0,1423.0,1359.0
78003,78,25.0,20.0,1.0,7.0,10.0
78004,78,326.0,228.0,48.0,150.0,111.0
78005,78,844.0,617.0,56.0,275.0,361.0
78006,78,4232.0,2757.0,575.0,1394.0,1377.0
78007,78,2943.0,2157.0,219.0,803.0,984.0
78008,78,1361.0,1073.0,88.0,591.0,368.0
78009,78,92.0,70.0,10.0,43.0,42.0
78010,78,145.0,119.0,12.0,73.0,47.0
78011,78,450.0,363.0,60.0,127.0,126.0
78012,78,3165.0,2310.0,253.0,1551.0,1582.0
78013,78,4860.0,3973.0,709.0,1312.0,1641.0
78014,78,768.0,586.0,105.0,200.0,248.0
78015,78,894.0,680.0,123.0,335.0,339.0
78016,78,677.0,570.0,56.0,319.0,245.0
78017,78,314.0,222.0,23.0,74.0,92.0
78018,78,190.0,125.0,16.0,56.0,60.0
78019,78,1695.0,1211.0,205.0,628.0,821.0
78020,78,1861.0,1579.0,263.0,503.0,1045.0
78021,78,7539.0,5732.0,1003.0,3902.0,2917.0
78022,78,3781.0,2476.0,203.0,1240.0,1547.0
78023,78,426.0,289.0,46.0,101.0,92.0
78024,78,1994.0,1436.0,130.0,919.0,553.0
78025,78,2531.0,1797.0,211.0,935.0,607.0
78026,78,341.0,262.0,48.0,95.0,177.0
78027,78,1754.0,1365.0,242.0,616.0,940.0
78028,78,161.0,121.0,23.0,76.0,58.0
78029,78,534.0,425.0,35.0,259.0,150.0
78030,78,1505.0,1005.0,158.0,494.0,544.0
78031,78,2494.0,1910.0,167.0,712.0,781.0
78032,78,2784.0,2097.0,277.0,774.0,1263.0
78033,78,1042.0,800.0,134.0,509.0,314.0
78034,78,3957.0,2783.0,316.0,1270.0,1580.0
78035,78,1836.0,1320.0,198.0,531.0,757.0
78036,78,23957.0,19256.0,1890.0,12737.0,12975.0
78037,78,6092.0,4606.0,642.0,2347.0,3073.0
78038,78,4702.0,3081.0,685.0,1947.0,1022.0
78039,78,3691.0,2676.0,533.0,1276.0,963.0
78040,78,28669.0,22330.0,3295.0,7782.0,6896.0
78041,78,4322.0,3628.0,584.0,1321.0,2239.0
78042,78,410.0,313.0,31.0,212.0,114.0
78043,78,76.0,53.0,10.0,34.0,27.0
78044,78,791.0,537.0,63.0,177.0,334.0
78045,78,29226.0,19435.0,4007.0,9341.0,9927.0
78046,78,198.0,144.0,26.0,90.0,98.0
78047,78,1646.0,1261.0,91.0,441.0,695.0
78048,78,491.0,386.0,69.0,162.0,227.0
78049,78,167.0,127.0,14.0,50.0,83.0
78050,78,5896.0,4983.0,728.0,3120.0,2769.0
78051,78,1550.0,1031.0,203.0,594.0,614.0
78052,78,7251.0,5217.0,645.0,2470.0,2363.0
78053,78,5003.0,4211.0,418.0,2145.0,1637.0
78054,78,6893.0,5782.0,879.0,2904.0,1969.0
78055,78,2749.0,2248.0,281.0,842.0,1048.0
78056,78,117.0,93.0,15.0,33.0,39.0
78057,78,1231.0,836.0,91.0,278.0,498.0
78058,78,35093.0,24730.0,3771.0,13190.0,15618.0
78059,78,12712.0,8585.0,1581.0,4682.0,3066.0
78060,78,2079.0,1712.0,108.0,533.0,823.0
78061,78,2868.0,2010.0,196.0,1341.0,1278.0
78062,78,158.0,114.0,11.0,57.0,45.0
78063,78,18573.0,12230.0,1000.0,3750.0,5944.0
78064,78,1794.0,1344.0,243.0,516.0,820.0
78065,78,30343.0,24017.0,2394.0,7703.0,14446.0
78066,78,1141.0,893.0,141.0,348.0,376.0
78067,78,1281.0,851.0,149.0,326.0,588.0
78068,78,161.0,114.0,20.0,34.0,77.0
78069,78,8830.0,7379.0,1111.0,3648.0,3543.0
78070,78,840.0,688.0,123.0,357.0,231.0
78071,78,418.0,281.0,58.0,122.0,159.0
78072,78,17570.0,11810.0,2563.0,7067.0,4642.0
78073,78,28.0,21.0,4.0,14.0,9.0
78074,78,9786.0,7836.0,1168.0,4920.0,3150.0
78075,78,2377.0,1740.0,242.0,549.0,529.0
78076,78,252.0,164.0,35.0,83.0,91.0
78077,78,2025.0,1588.0,217.0,925.0,906.0
78078,78,1500.0,1171.0,146.0,417.0,703.0
78079,78,804.0,640.0,95.0,338.0,297.0
78080,78,32.0,26.0,3.0,15.0,16.0
78081,78,1331.0,1069.0,120.0,740.0,623.0
78082,78,107.0,81.0,8.0,33.0,45.0
78083,78,10289.0,6729.0,788.0,4491.0,4488.0
78084,78,4959.0,3834.0,607.0,1295.0,2290.0
78085,78,25419.0,19982.0,3466.0,7467.0,8706.0
78086,78,4278.0,3142.0,347.0,2094.0,2102.0
78087,78,1225.0,830.0,84.0,472.0,323.0
78088,78,4456.0,3050.0,494.0,2081.0,1654.0
78089,78,1158.0,909.0,71.0,541.0,338.0
78090,78,811.0,667.0,121.0,210.0,337.0
78091,78,9.0,6.0,0.0,4.0,3.0
78092,78,61765.0,43752.0,4370.0,30624.0,22400.0
78093,78,2188.0,1818.0,220.0,959.0,1191.0
78094,78,4544.0,3065.0,353.0,1898.0,1087.0
78095,78,5274.0,4440.0,415.0,2747.0,2976.0
78096,78,11794.0,8906.0,899.0,5429.0,3587.0
78097,78,238.0,186.0,12.0,89.0,95.0
78098,78,4948.0,3689.0,632.0,1598.0,1232.0
78099,78,983.0,748.0,139.0,245.0,338.0
91001,91,1757.0,1255.0,236.0,522.0,414.0
91002,91,67.0,47.0,3.0,19.0,16.0
91003,91,24454.0,16927.0,2554.0,6108.0,7327.0
91004,91,4833.0,3313.0,653.0,1815.0,1635.0
91005,91,8200.0,5376.0,965.0,3057.0,3043.0
91006,91,395.0,273.0,39.0,160.0,139.0
91007,91,1093.0,795.0,155.0,448.0,421.0
91008,91,345.0,254.0,28.0,143.0,145.0
91009,91,1068.0,827.0,121.0,358.0,515.0
91010,91,75.0,59.0,7.0,30.0,25.0
91011,91,1972.0,1305.0,170.0,727.0,546.0
91012,91,518.0,434.0,31.0,154.0,144.0
91013,91,931.0,771.0,62.0,398.0,359.0
91014,91,1492.0,1135.0,82.0,638.0,561.0
91015,91,2078.0,1728.0,134.0,588.0,1151.0
91016,91,13714.0,10042.0,698.0,4360.0,3257.0
91017,91,9657.0,6799.0,1340.0,4141.0,3388.0
91018,91,444.0,337.0,38.0,182.0,182.0
91019,91,324.0,215.0,38.0,106.0,124.0
91020,91,1446.0,939.0,187.0,494.0,304.0
91021,91,180.0,127.0,16.0,55.0,52.0
91022,91,1155.0,791.0,68.0,531.0,442.0
91023,91,3514.0,2314.0,276.0,924.0,1526.0
91024,91,543.0,358.0,53.0,200.0,187.0
91025,91,1789.0,1192.0,126.0,691.0,433.0
91026,91,1022.0,800.0,82.0,323.0,403.0
91027,91,366.0,273.0,37.0,98.0,144.0
91028,91,2918.0,2440.0,259.0,1479.0,1625.0
91029,91,1695.0,1209.0,251.0,808.0,478.0
91030,91,2625.0,1810.0,387.0,580.0,694.0
91031,91,73184.0,61605.0,3851.0,22557.0,39778.0
91032,91,7934.0,6104.0,1176.0,2379.0,3934.0
91033,91,3528.0,2521.0,220.0,963.0,1073.0
91034,91,2070.0,1468.0,145.0,741.0,856.0
91035,91,227.0,166.0,14.0,92.0,54.0
91036,91,388.0,301.0,41.0,183.0,98.0
91037,91,1163.0,933.0,119.0,499.0,406.0
91038,91,445.0,312.0,55.0,144.0,211.0
91039,91,2452.0,1817.0,200.0,775.0,851.0
91040,91,563.0,460.0,46.0,219.0,295.0
91041,91,613.0,484.0,87.0,242.0,294.0
91042,91,1088.0,778.0,129.0,297.0,328.0
91043,91,691.0,533.0,74.0,204.0,335.0
91044,91,2287.0,1490.0,175.0,813.0,768.0
91045,91,163.0,105.0,14.0,62.0,68.0
91046,91,159.0,124.0,22.0,68.0,42.0
91047,91,7138.0,5521.0,607.0,1947.0,3476.0
91048,91,739.0,559.0,61.0,283.0,223.0
91049,91,1850.0,1240.0,200.0,421.0,598.0
91050,91,4039.0,2910.0,308.0,1567.0,892.0
91051,91,717.0,588.0,39.0,388.0,300.0
91052,91,22721.0,17961.0,2078.0,8335.0,10310.0
91053,91,1165.0,870.0,131.0,384.0,457.0
91054,91,689.0,501.0,52.0,264.0,328.0
91055,91,6253.0,4097.0,584.0,2444.0,2010.0
91056,91,885.0,709.0,102.0,351.0,237.0
91057,91,1889.0,1459.0,147.0,908.0,495.0
91058,91,70.0,54.0,3.0,29.0,17.0
91059,91,53.0,37.0,5.0,24.0,22.0
91060,91,8052.0,5339.0,598.0,3351.0,3044.0
91061,91,2377.0,1724.0,268.0,560.0,716.0
91062,91,277.0,208.0,29.0,120.0,67.0
91063,91,9361.0,7155.0,1314.0,2146.0,2198.0
91064,91,44.0,36.0,4.0,15.0,21.0
91065,91,2608.0,1893.0,391.0,883.0,1042.0
91066,91,663.0,497.0,59.0,227.0,269.0
91067,91,62.0,51.0,5.0,20.0,15.0
91068,91,102.0,73.0,13.0,27.0,31.0
91069,91,162.0,133.0,10.0,79.0,61.0
91070,91,927.0,777.0,69.0,399.0,507.0
91071,91,338.0,233.0,45.0,154.0,128.0
91072,91,69.0,49.0,6.0,24.0,29.0
91073,91,913.0,668.0,115.0,294.0,440.0
91074,91,554.0,447.0,74.0,142.0,272.0
91075,91,70.0,59.0,8.0,29.0,18.0
91076,91,5375.0,3656.0,774.0,1668.0,1895.0
91077,91,1052.0,747.0,56.0,447.0,250.0
91078,91,448.0,369.0,52.0,171.0,215.0
91079,91,1438.0,1047.0,156.0,359.0,321.0
91080,91,266.0,197.0,30.0,136.0,86.0
91081,91,2907.0,2387.0,204.0,982.0,1587.0
91082,91,732.0,575.0,103.0,276.0,211.0
91083,91,179.0,140.0,20.0,75.0,83.0
91084,91,4680.0,3753.0,365.0,1867.0,1453.0
91085,91,1142.0,957.0,138.0,457.0,305.0
91086,91,10923.0,7824.0,1497.0,4557.0,4920.0
91087,91,8661.0,6227.0,976.0,3531.0,2269.0
91088,91,615.0,499.0,90.0,286.0,324.0
91089,91,157.0,119.0,13.0,77.0,43.0
91090,91,2879.0,2351.0,285.0,1209.0,737.0
91091,91,813.0,640.0,109.0,374.0,355.0
91092,91,430.0,356.0,49.0,146.0,200.0
91093,91,3272.0,2565.0,276.0,1630.0,1651.0
91094,91,1010.0,689.0,134.0,340.0,372.0
91095,91,3462.0,2932.0,255.0,1578.0,1870.0
91096,91,1576.0,1294.0,127.0,638.0,794.0
91097,91,8381.0,6099.0,560.0,2251.0,3912.0
91098,91,3002.0,2182.0,243.0,1372.0,1487.0
91099,91,127.0,100.0,18.0,34.0,47.0
92001,92,394.0,298.0,57.0,117.0,161.0
92002,92,1685.0,1172.0,196.0,499.0,593.0
92003,92,2681.0,1961.0,346.0,1119.0,1095.0
92004,92,184.0,140.0,15.0,65.0,50.0
92005,92,104.0,79.0,11.0,27.0,52.0
92006,92,7585.0,5795.0,386.0,2246.0,2755.0
92007,92,434.0,368.0,22.0,134.0,135.0
92008,92,4685.0,3065.0,342.0,1619.0,1172.0
92009,92,2644.0,1965.0,393.0,621.0,1042.0
92010,92,17.0,11.0,1.0,5.0,3.0
92011,92,161.0,121.0,21.0,71.0,58.0
92012,92,341.0,228.0,34.0,82.0,150.0
92013,92,861.0,724.0,69.0,437.0,294.0
92014,92,1785.0,1316.0,143.0,788.0,410.0
92015,92,288.0,224.0,34.0,136.0,109.0
92016,92,2510.0,1650.0,212.0,633.0,1101.0
92017,92,1560.0,1257.0,111.0,468.0,500.0
92018,92,3580.0,2328.0,464.0,975.0,1164.0
92019,92,116.0,88.0,10.0,51.0,55.0
92020,92,98.0,64.0,13.0,44.0,31.0
92021,92,2361.0,1705.0,239.0,866.0,1083.0
92022,92,320.0,215.0,26.0,105.0,99.0
92023,92,2660.0,2037.0,196.0,1127.0,1199.0
92024,92,1721.0,1338.0,215.0,416.0,894.0
92025,92,4637.0,3327.0,436.0,1836.0,2178.0
92026,92,178.0,119.0,21.0,42.0,67.0
92027,92,547.0,370.0,51.0,233.0,198.0
92028,92,95.0,80.0,4.0,36.0,32.0
92029,92,1481.0,1250.0,190.0,802.0,858.0
92030,92,455.0,352.0,66.0,196.0,134.0
92031,92,153.0,115.0,22.0,72.0,41.0
92032,92,64788.0,42883.0,8650.0,24824.0,27802.0
92033,92,37.0,24.0,3.0,8.0,12.0
92034,92,199.0,151.0,15.0,66.0,79.0
92035,92,4668.0,3947.0,437.0,1906.0,1320.0
92036,92,3260.0,2348.0,317.0,1473.0,773.0
92037,92,144.0,118.0,17.0,80.0,73.0
92038,92,825.0,600.0,43.0,280.0,260.0
92039,92,30.0,22.0,2.0,13.0,12.0
92040,92,16944.0,12357.0,1248.0,7883.0,4487.0
92041,92,280.0,196.0,28.0,104.0,108.0
92042,92,612.0,452.0,47.0,264.0,213.0
92043,92,2864.0,1878.0,329.0,1235.0,937.0
92044,92,686.0,487.0,75.0,197.0,270.0
92045,92,1789.0,1164.0,254.0,700.0,507.0
92046,92,110.0,89.0,8.0,61.0,31.0
92047,92,1815.0,1365.0,152.0,624.0,933.0
92048,92,269.0,177.0,27.0,69.0,92.0
92049,92,3678.0,2402.0,349.0,988.0,945.0
92050,92,3829.0,2588.0,242.0,865.0,1735.0
92051,92,470.0,386.0,51.0,240.0,119.0
92052,92,1420.0,1032.0,111.0,394.0,547.0
92053,92,2526.0,1950.0,207.0,1102.0,1205.0
92054,92,1961.0,1339.0,277.0,668.0,649.0
92055,92,6886.0,4991.0,440.0,2674.0,2527.0
92056,92,2648.0,1773.0,316.0,1033.0,713.0
92057,92,4489.0,3506.0,604.0,1801.0,2065.0
92058,92,384.0,269.0,44.0,88.0,133.0
92059,92,892.0,583.0,66.0,365.0,302.0
92060,92,1641.0,1297.0,90.0,453.0,510.0
92061,92,10432.0,8825.0,1267.0,2830.0,5847.0
92062,92,464.0,341.0,42.0,187.0,181.0
92063,92,2584.0,1709.0,270.0,1121.0,661.0
92064,92,22819.0,17453.0,2475.0,7258.0,5899.0
92065,92,955.0,635.0,99.0,429.0,195.0
92066,92,997.0,822.0,89.0,276.0,248.0
92067,92,261.0,170.0,20.0,115.0,69.0
92068,92,1366.0,977.0,126.0,465.0,682.0
92069,92,648.0,493.0,34.0,335.0,234.0
92070,92,54819.0,42327.0,4193.0,18559.0,28795.0
92071,92,3305.0,2303.0,243.0,1359.0,887.0
92072,92,666.0,562.0,91.0,248.0,324.0
92073,92,470.0,311.0,62.0,157.0,167.0
92074,92,635.0,519.0,87.0,201.0,311.0
92075,92,3784.0,3141.0,497.0,2007.0,2074.0
92076,92,363.0,262.0,34.0,135.0,183.0
92077,92,7773.0,6292.0,841.0,3682.0,2498.0
92078,92,3315.0,2695.0,291.0,1278.0,1601.0
92079,92,565.0,462.0,73.0,320.0,217.0
92080,92,1227.0,849.0,178.0,423.0,457.0
92081,92,603.0,404.0,66.0,272.0,167.0
92082,92,1897.0,1459.0,273.0,597.0,980.0
92083,92,842.0,609.0,79.0,262.0,259.0
92084,92,1107.0,812.0,143.0,556.0,426.0
92085,92,10154.0,7225.0,1406.0,3875.0,3087.0
92086,92,19690.0,16342.0,1125.0,5834.0,8589.0
92087,92,440.0,351.0,38.0,119.0,227.0
92088,92,32.0,24.0,4.0,9.0,16.0
92089,92,616.0,423.0,67.0,245.0,201.0
92090,92,1442.0,1021.0,112.0,338.0,621.0
92091,92,1526.0,1197.0,156.0,521.0,511.0
92092,92,1270.0,973.0,93.0,480.0,547.0
92093,92,1104.0,871.0,157.0,333.0,589.0
92094,92,241.0,185.0,24.0,127.0,62.0
92095,92,133.0,92.0,15.0,35.0,58.0
92096,92,3222.0,2203.0,193.0,1495.0,914.0
92097,92,618.0,504.0,63.0,180.0,348.0
92098,92,77.0,58.0,10.0,18.0,22.0
92099,92,880.0,639.0,93.0,434.0,236.0
93001,93,1394.0,1016.0,170.0,416.0,697.0
93002,93,139.0,100.0,15.0,50.0,31.0
93003,93,6477.0,4261.0,702.0,2584.0,2840.0
93004,93,3376.0,2645.0,286.0,1118.0,1372.0
93005,93,5902.0,4836.0,718.0,3304.0,1495.0
93006,93,16.0,11.0,2.0,5.0,7.0
93007,93,220.0,180.0,24.0,62.0,59.0
93008,93,1511.0,1171.0,172.0,701.0,594.0
93009,93,1316.0,935.0,149.0,289.0,507.0
93010,93,13318.0,10416.0,866.0,4092.0,5588.0
93011,93,7173.0,4781.0,622.0,2292.0,2215.0
93012,93,10286.0,7530.0,1308.0,5088.0,4775.0
93013,93,3663.0,2670.0,420.0,1689.0,1756.0
93014,93,8526.0,5772.0,856.0,2454.0,3870.0
93015,93,3916.0,3167.0,216.0,1176.0,1394.0
93016,93,3278.0,2459.0,377.0,786.0,1022.0
93017,93,421.0,321.0,47.0,98.0,217.0
93018,93,245.0,173.0,29.0,102.0,62.0
93019,93,25844.0,21215.0,3673.0,12014.0,10320.0
93020,93,668.0,494.0,44.0,212.0,294.0
93021,93,5234.0,4402.0,571.0,2870.0,1600.0
93022,93,724.0,494.0,60.0,164.0,182.0
93023,93,1055.0,778.0,56.0,255.0,451.0
93024,93,3217.0,2241.0,316.0,1271.0,969.0
