CODGEO,NOM_COMMUNE,POPULATION,DEP,REG,MED21,TP6021,MEN_PAUV,SOURCE_REVENUS
77037,Bois-le-Roi,6072,77,11,24171.0,20.6,17.8,insee_stats_dep_2022
77038,Boissettes,437,77,11,22402.0,19.5,21.3,insee_stats_dep_2022
77039,Boissise-la-Bertrand,1206,77,11,29852.0,11.0,12.9,insee_stats_dep_2022
77040,Boissise-le-Roi,3941,77,11,18249.0,24.0,22.6,insee_stats_dep_2022
77041,Boissy-aux-Cailles,272,77,11,22328.0,20.7,21.2,insee_stats_dep_2022
77042,Boissy-le-Châtel,3346,77,11,27904.0,11.9,10.0,insee_stats_dep_2022
77043,Boitron,322,77,11,20873.0,25.2,22.7,insee_stats_dep_2022
77044,Bombon,935,77,11,22773.0,16.8,15.5,insee_stats_dep_2022
77045,Bougligny,738,77,11,25653.0,19.7,16.3,insee_stats_dep_2022
77046,Boulancourt,350,77,11,29235.0,11.8,10.4,insee_stats_dep_2022
77047,Bouleurs,1743,77,11,25426.0,17.5,14.2,insee_stats_dep_2022
77048,Bourron-Marlotte,2774,77,11,23148.0,18.1,16.7,insee_stats_dep_2022
77049,Boutigny,874,77,11,25783.0,12.9,15.5,insee_stats_dep_2022
77050,Bransles,526,77,11,21976.0,19.6,20.4,insee_stats_dep_2022
77051,Bray-sur-Seine,2344,77,11,26895.0,11.0,12.5,insee_stats_dep_2022
77052,Bréau,384,77,11,27395.0,11.9,12.3,insee_stats_dep_2022
77053,Brie-Comte-Robert,19003,77,11,30623.0,9.8,11.6,insee_stats_dep_2022
77054,La Brosse-Montceaux,776,77,11,21377.0,18.5,16.5,insee_stats_dep_2022
77055,Brou-sur-Chantereine,5196,77,11,20149.0,24.3,22.8,insee_stats_dep_2022
77056,Burcy,150,77,11,21021.0,19.7,17.0,insee_stats_dep_2022
77057,Bussières,600,77,11,22721.0,20.9,21.2,insee_stats_dep_2022
77058,Bussy-Saint-Georges,27498,77,11,25163.0,17.7,19.9,insee_stats_dep_2022
77059,Bussy-Saint-Martin,738,77,11,29892.0,15.1,17.6,insee_stats_dep_2022
77060,Buthiers,792,77,11,23617.0,19.0,17.0,insee_stats_dep_2022
77061,Cannes-Écluse,2742,77,11,25194.0,19.3,20.6,insee_stats_dep_2022
77062,Carnetin,461,77,11,14880.0,31.7,36.1,insee_stats_dep_2022
77063,La Celle-sur-Morin,1235,77,11,20289.0,24.7,24.6,insee_stats_dep_2022
77065,Cély,1259,77,11,28917.0,13.9,14.3,insee_stats_dep_2022
77066,Cerneux,272,77,11,25894.0,16.5,17.5,insee_stats_dep_2022
77067,Cesson,11222,77,11,33377.0,3.5,3.1,insee_stats_dep_2022
77068,Cessoy-en-Montois,213,77,11,20844.0,23.3,20.8,insee_stats_dep_2022
77069,Chailly-en-Bière,2162,77,11,26338.0,16.8,15.0,insee_stats_dep_2022
77070,Chailly-en-Brie,1576,77,11,25547.0,14.3,16.2,insee_stats_dep_2022
77071,Chaintreaux,821,77,11,23166.0,22.6,19.3,insee_stats_dep_2022
77072,Chalautre-la-Grande,644,77,11,21501.0,19.8,21.4,insee_stats_dep_2022
77073,Chalautre-la-Petite,541,77,11,19942.0,22.2,21.6,insee_stats_dep_2022
77075,Chalifert,1584,77,11,25583.0,17.0,16.2,insee_stats_dep_2022
77076,Chalmaison,749,77,11,19574.0,23.8,21.7,insee_stats_dep_2022
77077,Chambry,1064,77,11,21420.0,22.6,19.7,insee_stats_dep_2022
77078,Chamigny,1480,77,11,25508.0,16.9,18.0,insee_stats_dep_2022
77079,Champagne-sur-Seine,6497,77,11,29202.0,11.8,11.1,insee_stats_dep_2022
77080,Champcenest,205,77,11,24666.0,21.0,19.4,insee_stats_dep_2022
77081,Champdeuil,739,77,11,18635.0,27.2,22.2,insee_stats_dep_2022
77082,Champeaux,810,77,11,25436.0,19.0,16.7,insee_stats_dep_2022
77083,Champs-sur-Marne,27451,77,11,27537.0,14.8,13.1,insee_stats_dep_2022
77084,Changis-sur-Marne,1335,77,11,18776.0,24.8,27.5,insee_stats_dep_2022
77085,Chanteloup-en-Brie,4130,77,11,23899.0,20.3,17.2,insee_stats_dep_2022
77086,La Chapelle-Gauthier,1400,77,11,22548.0,18.9,17.7,insee_stats_dep_2022
77087,La Chapelle-Iger,191,77,11,24519.0,18.9,19.8,insee_stats_dep_2022
77088,La Chapelle-la-Reine,2170,77,11,28674.0,15.3,15.2,insee_stats_dep_2022
77089,La Chapelle-Rablais,913,77,11,25614.0,18.6,17.2,insee_stats_dep_2022
77090,La Chapelle-Saint-Sulpice,239,77,11,30130.0,13.7,16.3,insee_stats_dep_2022
77091,Les Chapelles-Bourbon,459,77,11,15671.0,27.5,23.7,insee_stats_dep_2022
77093,La Chapelle-Moutils,400,77,11,19971.0,21.7,18.9,insee_stats_dep_2022
77094,Charmentray,291,77,11,18024.0,29.7,24.8,insee_stats_dep_2022
77095,Charny,1585,77,11,22004.0,18.1,16.6,insee_stats_dep_2022
77096,Chartrettes,2633,77,11,19150.0,24.5,27.0,insee_stats_dep_2022
77097,Chartronges,304,77,11,23507.0,19.0,19.3,insee_stats_dep_2022
77098,Châteaubleau,363,77,11,20060.0,22.6,23.0,insee_stats_dep_2022
77099,Château-Landon,3149,77,11,17833.0,29.0,34.6,insee_stats_dep_2022
77100,Le Châtelet-en-Brie,4207,77,11,23003.0,18.1,16.3,insee_stats_dep_2022
77101,Châtenay-sur-Seine,1049,77,11,20002.0,22.4,19.3,insee_stats_dep_2022
77102,Châtenoy,155,77,11,21513.0,23.0,20.9,insee_stats_dep_2022
77103,Châtillon-la-Borde,226,77,11,18678.0,24.6,29.4,insee_stats_dep_2022
77104,Châtres,714,77,11,24311.0,17.9,15.5,insee_stats_dep_2022
77106,Chauffry,994,77,11,16667.0,30.7,28.5,insee_stats_dep_2022
77107,Chaumes-en-Brie,3503,77,11,26123.0,14.4,16.5,insee_stats_dep_2022
77108,Chelles,54620,77,11,27998.0,13.5,11.5,insee_stats_dep_2022
77109,Chenoise-Cucharmoy,1607,77,11,19778.0,22.9,19.7,insee_stats_dep_2022
77110,Chenou,291,77,11,29097.0,14.7,12.1,insee_stats_dep_2022
77111,Chessy,7771,77,11,31143.0,7.5,8.5,insee_stats_dep_2022
77112,Chevrainvilliers,255,77,11,19251.0,24.7,22.2,insee_stats_dep_2022
77113,Chevru,1012,77,11,20114.0,24.2,24.9,insee_stats_dep_2022
77114,Chevry-Cossigny,4075,77,11,25452.0,19.6,21.3,insee_stats_dep_2022
77115,Chevry-en-Sereine,498,77,11,26496.0,19.5,19.0,insee_stats_dep_2022
77116,Choisy-en-Brie,1354,77,11,17255.0,25.7,23.6,insee_stats_dep_2022
77117,Citry,922,77,11,30181.0,11.1,11.5,insee_stats_dep_2022
77118,Claye-Souilly,13353,77,11,25274.0,19.1,19.1,insee_stats_dep_2022
77119,Clos-Fontaine,244,77,11,18754.0,23.4,27.8,insee_stats_dep_2022
77120,Cocherel,618,77,11,23661.0,22.5,22.3,insee_stats_dep_2022
77121,Collégien,3354,77,11,23269.0,17.3,17.7,insee_stats_dep_2022
77122,Combs-la-Ville,23350,77,11,27194.0,12.8,14.3,insee_stats_dep_2022
77123,Compans,754,77,11,23245.0,20.4,23.6,insee_stats_dep_2022
77124,Conches-sur-Gondoire,1761,77,11,21835.0,20.1,20.2,insee_stats_dep_2022
77125,Condé-Sainte-Libiaire,1500,77,11,26360.0,14.7,12.3,insee_stats_dep_2022
77126,Congis-sur-Thérouanne,1772,77,11,19636.0,22.5,23.0,insee_stats_dep_2022
77127,Coubert,2005,77,11,27461.0,15.9,16.4,insee_stats_dep_2022
77128,Couilly-Pont-aux-Dames,2064,77,11,22792.0,17.8,14.6,insee_stats_dep_2022
77129,Coulombs-en-Valois,576,77,11,18898.0,25.0,24.2,insee_stats_dep_2022
77130,Coulommes,542,77,11,19292.0,25.4,24.5,insee_stats_dep_2022
77131,Coulommiers,16374,77,11,24743.0,17.2,17.5,insee_stats_dep_2022
77132,Coupvray,3066,77,11,27870.0,13.7,14.8,insee_stats_dep_2022
77133,Courcelles-en-Bassée,223,77,11,29948.0,9.1,9.7,insee_stats_dep_2022
77134,Courchamp,151,77,11,17542.0,31.0,34.0,insee_stats_dep_2022
77135,Courpalay,1610,77,11,25088.0,15.3,13.6,insee_stats_dep_2022
77136,Courquetaine,184,77,11,29263.0,12.8,13.9,insee_stats_dep_2022
77137,Courtacon,245,77,11,23423.0,22.5,25.8,insee_stats_dep_2022
77138,Courtomer,591,77,11,21665.0,20.1,16.5,insee_stats_dep_2022
77139,Courtry,7330,77,11,20204.0,23.0,22.1,insee_stats_dep_2022
77140,Coutençon,260,77,11,20195.0,24.2,20.1,insee_stats_dep_2022
77141,Coutevroult,1187,77,11,24085.0,20.1,17.9,insee_stats_dep_2022
77142,Crécy-la-Chapelle,4973,77,11,26075.0,14.5,12.5,insee_stats_dep_2022
77143,Crégy-lès-Meaux,5446,77,11,26658.0,17.6,15.2,insee_stats_dep_2022
77144,Crèvecœur-en-Brie,437,77,11,25271.0,15.0,13.7,insee_stats_dep_2022
77145,Crisenoy,611,77,11,27224.0,14.6,15.8,insee_stats_dep_2022
77146,Croissy-Beaubourg,2018,77,11,26665.0,17.2,19.1,insee_stats_dep_2022
77147,La Croix-en-Brie,681,77,11,18823.0,23.5,22.6,insee_stats_dep_2022
77148,Crouy-sur-Ourcq,1811,77,11,21567.0,23.8,21.0,insee_stats_dep_2022
77150,Cuisy,476,77,11,30134.0,9.5,8.8,insee_stats_dep_2022
77151,Dagny,305,77,11,22721.0,19.3,22.4,insee_stats_dep_2022
77152,Dammarie-les-Lys,23559,77,11,23149.0,20.6,18.0,insee_stats_dep_2022
77153,Dammartin-en-Goële,11907,77,11,23811.0,20.0,23.5,insee_stats_dep_2022
77154,Dammartin-sur-Tigeaux,1280,77,11,20156.0,21.3,19.2,insee_stats_dep_2022
77155,Dampmart,3677,77,11,25582.0,16.7,16.2,insee_stats_dep_2022
77156,Darvault,987,77,11,29839.0,12.0,9.7,insee_stats_dep_2022
77157,Dhuisy,334,77,11,18288.0,25.8,29.8,insee_stats_dep_2022
77158,Diant,194,77,11,23886.0,18.4,19.3,insee_stats_dep_2022
77159,Donnemarie-Dontilly,2706,77,11,23673.0,19.3,17.5,insee_stats_dep_2022
77161,Dormelles,816,77,11,24669.0,17.3,17.5,insee_stats_dep_2022
77162,Doue,1122,77,11,17514.0,27.8,22.8,insee_stats_dep_2022
77163,Douy-la-Ramée,395,77,11,17518.0,24.7,25.8,insee_stats_dep_2022
77164,Échouboulains,555,77,11,21252.0,26.3,23.0,insee_stats_dep_2022
77165,Les Écrennes,628,77,11,20164.0,24.6,21.0,insee_stats_dep_2022
77167,Égligny,310,77,11,23615.0,15.5,15.7,insee_stats_dep_2022
77168,Égreville,2186,77,11,18278.0,26.6,31.1,insee_stats_dep_2022
77169,Émerainville,7690,77,11,29384.0,14.5,17.2,insee_stats_dep_2022
77171,Esbly,6072,77,11,26488.0,13.2,12.9,insee_stats_dep_2022
77172,Esmans,934,77,11,14880.0,28.6,27.3,insee_stats_dep_2022
77173,Étrépilly,805,77,11,19655.0,26.1,22.6,insee_stats_dep_2022
77174,Everly,566,77,11,26618.0,11.0,11.4,insee_stats_dep_2022
77175,Évry-Grégy-sur-Yerre,3321,77,11,28125.0,9.8,7.9,insee_stats_dep_2022
77176,Faremoutiers,3057,77,11,29033.0,11.2,11.8,insee_stats_dep_2022
77177,Favières,1316,77,11,19400.0,22.5,21.8,insee_stats_dep_2022
77178,Faÿ-lès-Nemours,524,77,11,18172.0,23.1,27.3,insee_stats_dep_2022
77179,Féricy,625,77,11,23967.0,17.5,17.1,insee_stats_dep_2022
77180,Férolles-Attilly,1248,77,11,19555.0,24.6,24.7,insee_stats_dep_2022
77181,Ferrières-en-Brie,3932,77,11,23486.0,21.9,25.0,insee_stats_dep_2022
77182,La Ferté-Gaucher,4743,77,11,24033.0,21.5,25.6,insee_stats_dep_2022
77183,La Ferté-sous-Jouarre,10254,77,11,27884.0,16.7,17.7,insee_stats_dep_2022
77184,Flagy,584,77,11,27638.0,13.6,15.8,insee_stats_dep_2022
77185,Fleury-en-Bière,652,77,11,21395.0,24.1,26.6,insee_stats_dep_2022
77186,Fontainebleau,15583,77,11,29097.0,14.1,16.3,insee_stats_dep_2022
77187,Fontaine-Fourches,576,77,11,27890.0,13.4,16.0,insee_stats_dep_2022
77188,Fontaine-le-Port,1025,77,11,22009.0,21.6,18.3,insee_stats_dep_2022
77190,Fontains,256,77,11,24707.0,19.5,23.1,insee_stats_dep_2022
77191,Fontenailles,1109,77,11,23510.0,16.5,15.1,insee_stats_dep_2022
77192,Fontenay-Trésigny,5994,77,11,20794.0,22.2,18.5,insee_stats_dep_2022
77193,Forfry,238,77,11,24436.0,21.0,18.4,insee_stats_dep_2022
77194,Forges,443,77,11,32142.0,5.9,4.8,insee_stats_dep_2022
77195,Fouju,655,77,11,20118.0,21.1,22.7,insee_stats_dep_2022
77196,Fresnes-sur-Marne,948,77,11,20894.0,22.1,20.6,insee_stats_dep_2022
77197,Frétoy,173,77,11,20249.0,20.7,23.8,insee_stats_dep_2022
77198,Fromont,230,77,11,19508.0,23.8,28.5,insee_stats_dep_2022
77199,Fublaines,1370,77,11,14880.0,30.6,29.5,insee_stats_dep_2022
77200,Garentreville,123,77,11,25891.0,16.7,18.3,insee_stats_dep_2022
77201,Gastins,741,77,11,21105.0,17.4,20.6,insee_stats_dep_2022
77202,La Genevraye,840,77,11,24323.0,17.4,19.7,insee_stats_dep_2022
77203,Germigny-l'Évêque,1352,77,11,20136.0,22.6,24.2,insee_stats_dep_2022
77204,Germigny-sous-Coulombs,201,77,11,22550.0,19.3,19.6,insee_stats_dep_2022
77205,Gesvres-le-Chapitre,145,77,11,24914.0,20.6,18.6,insee_stats_dep_2022
77206,Giremoutiers,188,77,11,23914.0,19.5,21.3,insee_stats_dep_2022
77207,Gironville,166,77,11,21342.0,21.4,20.2,insee_stats_dep_2022
77208,Gouaix,1299,77,11,20410.0,23.2,23.9,insee_stats_dep_2022
77209,Gouvernes,1177,77,11,26098.0,14.6,13.5,insee_stats_dep_2022
77210,La Grande-Paroisse,2893,77,11,23349.0,17.6,19.6,insee_stats_dep_2022
77211,Grandpuits-Bailly-Carrois,1009,77,11,23340.0,15.6,14.2,insee_stats_dep_2022
77212,Gravon,156,77,11,21325.0,22.0,17.9,insee_stats_dep_2022
77214,Gressy,807,77,11,23485.0,14.3,14.4,insee_stats_dep_2022
77215,Gretz-Armainvilliers,8825,77,11,25265.0,15.5,16.1,insee_stats_dep_2022
77216,Grez-sur-Loing,1432,77,11,17351.0,25.1,27.2,insee_stats_dep_2022
77217,Grisy-Suisnes,2948,77,11,31214.0,7.7,7.2,insee_stats_dep_2022
77218,Grisy-sur-Seine,123,77,11,21180.0,21.2,19.3,insee_stats_dep_2022
77219,Guérard,2688,77,11,29210.0,9.8,9.7,insee_stats_dep_2022
77220,Guercheville,268,77,11,20936.0,23.8,24.7,insee_stats_dep_2022
77221,Guermantes,1153,77,11,24742.0,16.4,15.3,insee_stats_dep_2022
77222,Guignes,4448,77,11,24863.0,17.1,17.3,insee_stats_dep_2022
77223,Gurcy-le-Châtel,559,77,11,19356.0,25.1,27.2,insee_stats_dep_2022
77224,Hautefeuille,253,77,11,28062.0,14.1,13.5,insee_stats_dep_2022
77225,La Haute-Maison,352,77,11,23633.0,17.5,20.5,insee_stats_dep_2022
77226,Héricy,2507,77,11,23403.0,17.6,20.9,insee_stats_dep_2022
77227,Hermé,647,77,11,29429.0,9.3,10.0,insee_stats_dep_2022
77228,Hondevilliers,256,77,11,24877.0,20.0,18.9,insee_stats_dep_2022
77229,La Houssaye-en-Brie,1731,77,11,27615.0,12.1,12.1,insee_stats_dep_2022
77230,Ichy,157,77,11,19308.0,26.6,22.2,insee_stats_dep_2022
77231,Isles-les-Meldeuses,760,77,11,14880.0,29.3,25.9,insee_stats_dep_2022
77232,Isles-lès-Villenoy,1129,77,11,22083.0,20.6,22.9,insee_stats_dep_2022
77233,Iverny,618,77,11,20080.0,25.4,23.3,insee_stats_dep_2022
77234,Jablines,647,77,11,23922.0,18.1,18.7,insee_stats_dep_2022
77235,Jaignes,322,77,11,23703.0,17.3,19.0,insee_stats_dep_2022
77236,Jaulnes,344,77,11,26232.0,11.4,11.9,insee_stats_dep_2022
77237,Jossigny,650,77,11,20982.0,22.2,24.0,insee_stats_dep_2022
77238,Jouarre,4221,77,11,23594.0,21.1,20.6,insee_stats_dep_2022
77239,Jouy-le-Châtel,1630,77,11,25815.0,17.4,15.5,insee_stats_dep_2022
77240,Jouy-sur-Morin,2230,77,11,18082.0,27.8,28.8,insee_stats_dep_2022
77241,Juilly,2036,77,11,25195.0,18.5,14.9,insee_stats_dep_2022
77242,Jutigny,547,77,11,27187.0,14.4,13.2,insee_stats_dep_2022
77243,Lagny-sur-Marne,21461,77,11,22479.0,25.6,30.3,insee_stats_dep_2022
77244,Larchant,730,77,11,24888.0,18.1,17.2,insee_stats_dep_2022
77245,Laval-en-Brie,412,77,11,20143.0,21.0,21.1,insee_stats_dep_2022
77246,Léchelle,572,77,11,24072.0,16.6,14.9,insee_stats_dep_2022
77247,Lescherolles,464,77,11,22278.0,20.8,21.0,insee_stats_dep_2022
77248,Lesches,763,77,11,17690.0,26.3,30.3,insee_stats_dep_2022
77249,Lésigny,6923,77,11,24529.0,18.8,15.8,insee_stats_dep_2022
77250,Leudon-en-Brie,168,77,11,28021.0,14.2,12.4,insee_stats_dep_2022
77251,Lieusaint,14017,77,11,25002.0,17.9,16.5,insee_stats_dep_2022
77252,Limoges-Fourches,625,77,11,23725.0,22.5,24.8,insee_stats_dep_2022
77253,Lissy,352,77,11,14880.0,29.4,29.2,insee_stats_dep_2022
77254,Liverdy-en-Brie,1410,77,11,19685.0,23.0,19.8,insee_stats_dep_2022
77255,Livry-sur-Seine,2226,77,11,26558.0,16.5,19.6,insee_stats_dep_2022
77256,Lizines,174,77,11,24971.0,20.2,22.1,insee_stats_dep_2022
77257,Lizy-sur-Ourcq,3627,77,11,31101.0,13.0,12.6,insee_stats_dep_2022
77258,Lognes,15074,77,11,26637.0,12.9,14.6,insee_stats_dep_2022
77259,Longperrier,3152,77,11,27541.0,14.8,16.4,insee_stats_dep_2022
77260,Longueville,1804,77,11,21103.0,25.0,21.3,insee_stats_dep_2022
77261,Lorrez-le-Bocage-Préaux,1274,77,11,23904.0,16.4,15.5,insee_stats_dep_2022
77262,Louan-Villegruis-Fontaine,491,77,11,22706.0,20.5,18.7,insee_stats_dep_2022
77263,Luisetaines,229,77,11,19849.0,22.9,26.4,insee_stats_dep_2022
77264,Lumigny-Nesles-Ormeaux,1468,77,11,24968.0,16.2,15.9,insee_stats_dep_2022
77265,Luzancy,1036,77,11,24645.0,19.9,16.3,insee_stats_dep_2022
77266,Machault,815,77,11,19989.0,22.1,23.0,insee_stats_dep_2022
77267,La Madeleine-sur-Loing,347,77,11,21051.0,21.9,25.3,insee_stats_dep_2022
77268,Magny-le-Hongre,9060,77,11,22459.0,22.9,25.9,insee_stats_dep_2022
77269,Maincy,1828,77,11,22865.0,17.9,17.0,insee_stats_dep_2022
77270,Maisoncelles-en-Brie,977,77,11,25887.0,19.5,19.1,insee_stats_dep_2022
77271,Maisoncelles-en-Gâtinais,141,77,11,25792.0,15.2,15.5,insee_stats_dep_2022
77272,Maison-Rouge,880,77,11,21814.0,22.3,22.1,insee_stats_dep_2022
77273,Marchémoret,659,77,11,20104.0,24.2,25.7,insee_stats_dep_2022
77274,Marcilly,489,77,11,24365.0,17.7,18.5,insee_stats_dep_2022
77275,Les Marêts,152,77,11,22306.0,21.3,19.7,insee_stats_dep_2022
77276,Mareuil-lès-Meaux,3345,77,11,25696.0,15.4,16.4,insee_stats_dep_2022
77277,Marles-en-Brie,1898,77,11,24001.0,15.8,18.3,insee_stats_dep_2022
77278,Marolles-en-Brie,412,77,11,20462.0,21.4,24.4,insee_stats_dep_2022
77279,Marolles-sur-Seine,1774,77,11,15200.0,30.3,29.9,insee_stats_dep_2022
77280,Mary-sur-Marne,1155,77,11,24440.0,17.9,18.2,insee_stats_dep_2022
77281,Mauperthuis,495,77,11,15786.0,28.8,31.9,insee_stats_dep_2022
77282,Mauregard,341,77,11,25634.0,18.2,15.9,insee_stats_dep_2022
77283,May-en-Multien,877,77,11,17658.0,28.6,29.4,insee_stats_dep_2022
77284,Meaux,56905,77,11,29941.0,13.4,13.5,insee_stats_dep_2022
77285,Le Mée-sur-Seine,19527,77,11,31166.0,11.7,12.7,insee_stats_dep_2022
77286,Meigneux,236,77,11,23676.0,20.2,20.5,insee_stats_dep_2022
77287,Meilleray,504,77,11,27437.0,15.3,16.9,insee_stats_dep_2022
77288,Melun,45995,77,11,29496.0,15.2,12.3,insee_stats_dep_2022
77289,Melz-sur-Seine,345,77,11,20606.0,22.9,24.4,insee_stats_dep_2022
77290,Méry-sur-Marne,679,77,11,28782.0,10.5,9.4,insee_stats_dep_2022
77291,Le Mesnil-Amelot,992,77,11,24467.0,16.0,18.2,insee_stats_dep_2022
77292,Messy,1219,77,11,22666.0,24.0,28.7,insee_stats_dep_2022
77293,Misy-sur-Yonne,834,77,11,23490.0,21.5,24.7,insee_stats_dep_2022
77294,Mitry-Mory,20456,77,11,22005.0,23.6,24.6,insee_stats_dep_2022
77295,Moisenay,1362,77,11,24659.0,20.4,22.8,insee_stats_dep_2022
77296,Moissy-Cramayel,18511,77,11,25770.0,14.2,12.8,insee_stats_dep_2022
77297,Mondreville,334,77,11,19201.0,28.6,31.5,insee_stats_dep_2022
77298,Mons-en-Montois,454,77,11,22793.0,19.8,21.3,insee_stats_dep_2022
77300,Montceaux-lès-Meaux,669,77,11,25344.0,15.7,13.0,insee_stats_dep_2022
77301,Montceaux-lès-Provins,320,77,11,23718.0,21.5,24.2,insee_stats_dep_2022
77302,Moncourt-Fromonville,1891,77,11,23784.0,18.7,18.2,insee_stats_dep_2022
77303,Montdauphin,235,77,11,21833.0,23.2,24.7,insee_stats_dep_2022
77304,Montenils,34,77,11,22985.0,20.8,24.6,insee_stats_dep_2022
77305,Montereau-Fault-Yonne,22279,77,11,22481.0,17.6,14.3,insee_stats_dep_2022
77306,Montereau-sur-le-Jard,499,77,11,18237.0,27.3,28.6,insee_stats_dep_2022
77307,Montévrain,15687,77,11,26550.0,15.0,13.6,insee_stats_dep_2022
77308,Montgé-en-Goële,717,77,11,21762.0,18.3,15.4,insee_stats_dep_2022
77309,Monthyon,1756,77,11,31518.0,8.1,6.7,insee_stats_dep_2022
77310,Montigny-le-Guesdier,295,77,11,25553.0,19.1,21.4,insee_stats_dep_2022
77311,Montigny-Lencoup,1358,77,11,27560.0,13.8,12.9,insee_stats_dep_2022
77312,Montigny-sur-Loing,2669,77,11,24274.0,17.2,20.6,insee_stats_dep_2022
77313,Montmachoux,213,77,11,21394.0,22.1,25.5,insee_stats_dep_2022
77314,Montolivet,257,77,11,22147.0,19.6,21.9,insee_stats_dep_2022
77315,Montry,3945,77,11,25177.0,14.1,11.8,insee_stats_dep_2022
77316,Moret-Loing-et-Orvanne,12810,77,11,25453.0,14.8,13.0,insee_stats_dep_2022
77317,Mormant,5282,77,11,28548.0,14.6,12.4,insee_stats_dep_2022
77318,Mortcerf,1400,77,11,18634.0,26.1,25.2,insee_stats_dep_2022
77319,Mortery,137,77,11,17403.0,25.1,29.0,insee_stats_dep_2022
77320,Mouroux,5810,77,11,29327.0,10.6,9.6,insee_stats_dep_2022
77321,Mousseaux-lès-Bray,682,77,11,18097.0,25.6,24.2,insee_stats_dep_2022
77322,Moussy-le-Neuf,3253,77,11,30748.0,10.5,9.5,insee_stats_dep_2022
77323,Moussy-le-Vieux,1469,77,11,15174.0,27.3,27.3,insee_stats_dep_2022
77325,Mouy-sur-Seine,353,77,11,23701.0,17.3,14.7,insee_stats_dep_2022
77326,Nandy,6350,77,11,21219.0,23.8,27.6,insee_stats_dep_2022
77327,Nangis,8867,77,11,24807.0,16.6,19.8,insee_stats_dep_2022
77328,Nanteau-sur-Essonne,414,77,11,22379.0,17.3,17.2,insee_stats_dep_2022
77329,Nanteau-sur-Lunain,702,77,11,25781.0,18.0,16.0,insee_stats_dep_2022
77330,Nanteuil-lès-Meaux,7308,77,11,27015.0,17.0,16.6,insee_stats_dep_2022
77331,Nanteuil-sur-Marne,406,77,11,17030.0,29.1,33.3,insee_stats_dep_2022
77332,Nantouillet,302,77,11,24313.0,20.1,19.9,insee_stats_dep_2022
77333,Nemours,12889,77,11,23756.0,22.1,18.8,insee_stats_dep_2022
