code_insee_commune_actualise,etiquette_dpe,etiquette_ges,type_batiment,annee_construction,surface_habitable_logement,consommation_energie_primaire,date_reception_dpe,region_code,source
22219,E,D,maison,1994,38.9,628.0,2021-07-13,53,simule_distributions_ademe_2023
56108,G,G,appartement,1956,92.1,564.0,2021-07-13,53,simule_distributions_ademe_2023
35015,E,E,maison,1972,54.4,521.0,2021-07-13,53,simule_distributions_ademe_2023
22080,G,F,maison,1967,68.7,663.0,2021-07-14,53,simule_distributions_ademe_2023
29239,D,F,appartement,1982,33.1,152.0,2021-07-14,53,simule_distributions_ademe_2023
56059,D,D,maison,1987,136.1,307.0,2021-07-14,53,simule_distributions_ademe_2023
35350,B,G,maison,2001,42.6,96.0,2021-07-14,53,simule_distributions_ademe_2023
56399,G,D,maison,1960,47.2,543.0,2021-07-15,53,simule_distributions_ademe_2023
22127,D,E,appartement,1993,83.7,173.0,2021-07-15,53,simule_distributions_ademe_2023
29336,G,B,appartement,1968,125.8,454.0,2021-07-15,53,simule_distributions_ademe_2023
56055,B,D,appartement,2002,48.4,65.0,2021-07-15,53,simule_distributions_ademe_2023
35051,E,B,immeuble,1969,32.1,432.0,2021-07-16,53,simule_distributions_ademe_2023
22346,F,F,maison,1931,65.0,431.0,2021-07-16,53,simule_distributions_ademe_2023
35350,E,F,appartement,1987,107.0,386.0,2021-07-16,53,simule_distributions_ademe_2023
35311,D,B,appartement,1990,45.7,242.0,2021-07-16,53,simule_distributions_ademe_2023
29102,F,F,maison,1920,54.4,587.0,2021-07-17,53,simule_distributions_ademe_2023
56205,E,D,immeuble,1984,50.0,575.0,2021-07-17,53,simule_distributions_ademe_2023
56227,G,E,immeuble,1935,145.6,368.0,2021-07-17,53,simule_distributions_ademe_2023
35065,B,E,appartement,2014,133.5,126.0,2021-07-17,53,simule_distributions_ademe_2023
35203,E,C,appartement,1989,24.0,643.0,2021-07-18,53,simule_distributions_ademe_2023
35207,D,D,appartement,1965,30.5,186.0,2021-07-18,53,simule_distributions_ademe_2023
29360,F,G,maison,1939,42.0,495.0,2021-07-18,53,simule_distributions_ademe_2023
56229,D,F,appartement,1982,44.4,263.0,2021-07-18,53,simule_distributions_ademe_2023
35214,E,D,appartement,1989,50.6,553.0,2021-07-19,53,simule_distributions_ademe_2023
29243,F,C,appartement,1926,37.6,483.0,2021-07-19,53,simule_distributions_ademe_2023
56164,A,G,appartement,1994,70.7,101.0,2021-07-19,53,simule_distributions_ademe_2023
35217,A,E,maison,1993,89.9,102.0,2021-07-19,53,simule_distributions_ademe_2023
35380,E,D,maison,1987,78.3,546.0,2021-07-20,53,simule_distributions_ademe_2023
29064,D,B,immeuble,1988,62.6,271.0,2021-07-20,53,simule_distributions_ademe_2023
56271,E,D,appartement,1967,150.3,380.0,2021-07-20,53,simule_distributions_ademe_2023
22038,F,F,maison,1941,102.3,369.0,2021-07-20,53,simule_distributions_ademe_2023
22017,G,E,maison,1934,49.4,529.0,2021-07-21,53,simule_distributions_ademe_2023
35024,D,C,appartement,1972,78.6,306.0,2021-07-21,53,simule_distributions_ademe_2023
35272,D,G,maison,1992,144.8,314.0,2021-07-21,53,simule_distributions_ademe_2023
35153,C,E,maison,1985,44.0,207.0,2021-07-21,53,simule_distributions_ademe_2023
35329,E,G,immeuble,1985,37.1,456.0,2021-07-22,53,simule_distributions_ademe_2023
56379,G,G,maison,1929,39.0,562.0,2021-07-22,53,simule_distributions_ademe_2023
29167,D,B,maison,1992,65.3,192.0,2021-07-22,53,simule_distributions_ademe_2023
22003,C,D,immeuble,1993,127.9,271.0,2021-07-23,53,simule_distributions_ademe_2023
29097,C,C,maison,2013,68.8,208.0,2021-07-23,53,simule_distributions_ademe_2023
35375,F,G,maison,1946,28.4,525.0,2021-07-23,53,simule_distributions_ademe_2023
56027,C,G,maison,2018,93.0,248.0,2021-07-23,53,simule_distributions_ademe_2023
29117,F,A,maison,1920,50.4,416.0,2021-07-24,53,simule_distributions_ademe_2023
35084,D,E,maison,1966,87.7,213.0,2021-07-24,53,simule_distributions_ademe_2023
56389,G,E,appartement,1974,67.9,364.0,2021-07-24,53,simule_distributions_ademe_2023
35232,G,D,appartement,1946,120.6,632.0,2021-07-24,53,simule_distributions_ademe_2023
56237,G,C,appartement,1956,94.9,434.0,2021-07-25,53,simule_distributions_ademe_2023
29288,G,F,maison,1920,32.1,632.0,2021-07-25,53,simule_distributions_ademe_2023
22258,C,F,maison,2015,36.8,304.0,2021-07-25,53,simule_distributions_ademe_2023
29284,G,C,maison,1940,172.2,449.0,2021-07-25,53,simule_distributions_ademe_2023
22246,D,E,appartement,1968,91.4,179.0,2021-07-26,53,simule_distributions_ademe_2023
35392,F,F,maison,1927,110.5,468.0,2021-07-26,53,simule_distributions_ademe_2023
29126,D,E,maison,1969,99.1,285.0,2021-07-26,53,simule_distributions_ademe_2023
35179,C,C,maison,2007,52.0,312.0,2021-07-26,53,simule_distributions_ademe_2023
29397,C,E,appartement,2015,89.1,181.0,2021-07-27,53,simule_distributions_ademe_2023
35095,E,B,maison,1988,93.9,383.0,2021-07-27,53,simule_distributions_ademe_2023
22150,E,E,maison,1975,50.5,650.0,2021-07-27,53,simule_distributions_ademe_2023
22065,C,G,appartement,2010,45.9,169.0,2021-07-27,53,simule_distributions_ademe_2023
22018,F,E,appartement,1954,82.0,637.0,2021-07-28,53,simule_distributions_ademe_2023
22259,E,E,appartement,1967,137.8,640.0,2021-07-28,53,simule_distributions_ademe_2023
29253,F,G,maison,1928,53.7,504.0,2021-07-28,53,simule_distributions_ademe_2023
29373,G,D,maison,1934,82.5,458.0,2021-07-28,53,simule_distributions_ademe_2023
56357,F,F,maison,1954,64.4,551.0,2021-07-29,53,simule_distributions_ademe_2023
22256,G,B,maison,1970,64.0,621.0,2021-07-29,53,simule_distributions_ademe_2023
35140,F,E,appartement,1974,64.9,546.0,2021-07-29,53,simule_distributions_ademe_2023
22380,C,E,maison,2001,58.4,289.0,2021-07-29,53,simule_distributions_ademe_2023
22279,D,G,maison,1976,48.6,230.0,2021-07-30,53,simule_distributions_ademe_2023
22010,G,C,maison,1945,112.7,407.0,2021-07-30,53,simule_distributions_ademe_2023
29047,C,F,maison,2006,46.8,295.0,2021-07-30,53,simule_distributions_ademe_2023
29330,E,E,appartement,1985,44.1,573.0,2021-07-30,53,simule_distributions_ademe_2023
29201,F,F,maison,1971,72.3,510.0,2021-07-31,53,simule_distributions_ademe_2023
29366,E,G,appartement,1988,50.0,627.0,2021-07-31,53,simule_distributions_ademe_2023
22007,B,D,appartement,2003,43.1,78.0,2021-07-31,53,simule_distributions_ademe_2023
29185,F,A,maison,1922,31.5,486.0,2021-07-31,53,simule_distributions_ademe_2023
29233,D,E,maison,1966,38.9,232.0,2021-08-01,53,simule_distributions_ademe_2023
56163,D,E,immeuble,1969,124.7,292.0,2021-08-01,53,simule_distributions_ademe_2023
35114,B,G,maison,1994,80.2,133.0,2021-08-01,53,simule_distributions_ademe_2023
29132,G,F,maison,1928,39.1,567.0,2021-08-01,53,simule_distributions_ademe_2023
29032,B,E,maison,1986,60.3,57.0,2021-08-02,53,simule_distributions_ademe_2023
35072,B,C,maison,1997,182.9,142.0,2021-08-02,53,simule_distributions_ademe_2023
56335,B,G,appartement,2010,32.8,54.0,2021-08-02,53,simule_distributions_ademe_2023
56089,C,F,appartement,2009,109.4,241.0,2021-08-03,53,simule_distributions_ademe_2023
22104,E,G,maison,1983,18.0,376.0,2021-08-03,53,simule_distributions_ademe_2023
56250,C,D,maison,1998,40.6,163.0,2021-08-03,53,simule_distributions_ademe_2023
22259,F,B,immeuble,1938,25.2,452.0,2021-08-03,53,simule_distributions_ademe_2023
22013,D,C,maison,1972,31.1,261.0,2021-08-04,53,simule_distributions_ademe_2023
29330,D,E,maison,1968,127.5,170.0,2021-08-04,53,simule_distributions_ademe_2023
22351,F,G,appartement,1948,143.6,479.0,2021-08-04,53,simule_distributions_ademe_2023
35182,F,F,appartement,1969,46.0,362.0,2021-08-04,53,simule_distributions_ademe_2023
22057,C,D,appartement,2019,40.4,294.0,2021-08-05,53,simule_distributions_ademe_2023
29212,F,D,appartement,1932,78.1,383.0,2021-08-05,53,simule_distributions_ademe_2023
35197,D,F,maison,1965,157.6,298.0,2021-08-05,53,simule_distributions_ademe_2023
22245,C,C,appartement,2012,50.2,285.0,2021-08-05,53,simule_distributions_ademe_2023
22311,D,G,maison,1985,73.7,330.0,2021-08-06,53,simule_distributions_ademe_2023
35238,C,D,maison,1990,80.8,236.0,2021-08-06,53,simule_distributions_ademe_2023
22036,D,A,immeuble,1972,27.9,159.0,2021-08-06,53,simule_distributions_ademe_2023
35129,F,F,maison,1966,186.7,616.0,2021-08-06,53,simule_distributions_ademe_2023
56002,D,F,immeuble,1977,175.4,163.0,2021-08-07,53,simule_distributions_ademe_2023
56153,G,E,immeuble,1973,105.3,672.0,2021-08-07,53,simule_distributions_ademe_2023
35199,E,B,maison,1981,95.0,336.0,2021-08-07,53,simule_distributions_ademe_2023
22348,E,E,maison,1979,37.8,684.0,2021-08-07,53,simule_distributions_ademe_2023
56326,F,D,appartement,1925,99.4,511.0,2021-08-08,53,simule_distributions_ademe_2023
29064,D,G,maison,1974,56.3,168.0,2021-08-08,53,simule_distributions_ademe_2023
22263,C,F,appartement,1998,48.7,283.0,2021-08-08,53,simule_distributions_ademe_2023
22057,F,G,maison,1921,60.9,683.0,2021-08-08,53,simule_distributions_ademe_2023
35249,D,F,maison,1974,55.8,193.0,2021-08-09,53,simule_distributions_ademe_2023
35217,D,F,maison,1991,87.8,216.0,2021-08-09,53,simule_distributions_ademe_2023
22371,D,F,maison,1980,84.5,312.0,2021-08-09,53,simule_distributions_ademe_2023
35271,G,E,maison,1945,63.0,517.0,2021-08-09,53,simule_distributions_ademe_2023
35002,B,B,appartement,2002,18.0,53.0,2021-08-10,53,simule_distributions_ademe_2023
22316,G,G,maison,1955,37.0,551.0,2021-08-10,53,simule_distributions_ademe_2023
56392,E,F,maison,1966,147.7,512.0,2021-08-10,53,simule_distributions_ademe_2023
56001,E,D,maison,1987,67.6,621.0,2021-08-10,53,simule_distributions_ademe_2023
29078,D,C,appartement,1975,64.1,212.0,2021-08-11,53,simule_distributions_ademe_2023
56254,G,C,maison,1948,99.6,595.0,2021-08-11,53,simule_distributions_ademe_2023
29297,F,E,appartement,1967,53.6,446.0,2021-08-11,53,simule_distributions_ademe_2023
56382,F,E,appartement,1950,76.3,679.0,2021-08-11,53,simule_distributions_ademe_2023
35243,D,D,maison,1983,51.2,304.0,2021-08-12,53,simule_distributions_ademe_2023
29048,D,E,maison,1985,95.3,208.0,2021-08-12,53,simule_distributions_ademe_2023
35124,C,E,appartement,2003,151.3,197.0,2021-08-12,53,simule_distributions_ademe_2023
35327,F,G,appartement,1941,24.0,491.0,2021-08-12,53,simule_distributions_ademe_2023
56201,G,E,appartement,1956,42.7,381.0,2021-08-13,53,simule_distributions_ademe_2023
22285,E,F,maison,1968,116.8,575.0,2021-08-13,53,simule_distributions_ademe_2023
35082,C,D,maison,1998,64.0,165.0,2021-08-13,53,simule_distributions_ademe_2023
35013,F,D,maison,1947,38.1,628.0,2021-08-14,53,simule_distributions_ademe_2023
29250,A,C,maison,1990,48.3,148.0,2021-08-14,53,simule_distributions_ademe_2023
22335,G,E,maison,1934,37.7,463.0,2021-08-14,53,simule_distributions_ademe_2023
29096,D,D,maison,1984,49.0,195.0,2021-08-14,53,simule_distributions_ademe_2023
22109,F,F,maison,1933,35.4,690.0,2021-08-15,53,simule_distributions_ademe_2023
22278,C,E,maison,1991,40.1,292.0,2021-08-15,53,simule_distributions_ademe_2023
22135,D,A,maison,1968,63.5,326.0,2021-08-15,53,simule_distributions_ademe_2023
29260,C,G,maison,1997,36.8,267.0,2021-08-15,53,simule_distributions_ademe_2023
35215,E,B,immeuble,1965,37.0,507.0,2021-08-16,53,simule_distributions_ademe_2023
22159,D,E,appartement,1979,58.8,154.0,2021-08-16,53,simule_distributions_ademe_2023
56050,A,E,appartement,1985,65.3,127.0,2021-08-16,53,simule_distributions_ademe_2023
22081,E,E,appartement,1982,97.0,583.0,2021-08-16,53,simule_distributions_ademe_2023
56387,F,E,maison,1938,33.3,693.0,2021-08-17,53,simule_distributions_ademe_2023
56068,F,G,appartement,1938,28.9,343.0,2021-08-17,53,simule_distributions_ademe_2023
56096,G,D,appartement,1935,65.1,598.0,2021-08-17,53,simule_distributions_ademe_2023
29032,D,C,appartement,1967,27.6,181.0,2021-08-17,53,simule_distributions_ademe_2023
29350,C,D,appartement,1987,34.0,161.0,2021-08-18,53,simule_distributions_ademe_2023
29051,F,D,maison,1953,48.7,332.0,2021-08-18,53,simule_distributions_ademe_2023
35073,E,D,maison,1976,35.5,419.0,2021-08-18,53,simule_distributions_ademe_2023
22166,E,E,maison,1969,70.3,651.0,2021-08-18,53,simule_distributions_ademe_2023
29189,D,C,maison,1971,29.2,161.0,2021-08-19,53,simule_distributions_ademe_2023
56064,E,E,appartement,1983,35.1,629.0,2021-08-19,53,simule_distributions_ademe_2023
29208,E,C,maison,1967,59.6,390.0,2021-08-19,53,simule_distributions_ademe_2023
29045,D,G,appartement,1992,70.5,315.0,2021-08-19,53,simule_distributions_ademe_2023
56374,D,B,appartement,1994,48.9,198.0,2021-08-20,53,simule_distributions_ademe_2023
29321,D,G,appartement,1975,63.3,205.0,2021-08-20,53,simule_distributions_ademe_2023
56060,E,G,maison,1989,54.9,359.0,2021-08-20,53,simule_distributions_ademe_2023
35101,E,D,maison,1972,71.9,411.0,2021-08-20,53,simule_distributions_ademe_2023
56371,D,E,maison,1989,94.0,205.0,2021-08-21,53,simule_distributions_ademe_2023
22096,E,F,maison,1989,42.3,599.0,2021-08-21,53,simule_distributions_ademe_2023
56164,F,F,maison,1931,102.9,658.0,2021-08-21,53,simule_distributions_ademe_2023
29013,G,C,maison,1964,100.9,352.0,2021-08-21,53,simule_distributions_ademe_2023
35218,G,F,maison,1959,172.0,342.0,2021-08-22,53,simule_distributions_ademe_2023
56205,E,A,appartement,1976,71.7,459.0,2021-08-22,53,simule_distributions_ademe_2023
35104,E,B,maison,1990,95.7,408.0,2021-08-22,53,simule_distributions_ademe_2023
22059,D,E,appartement,1970,39.0,254.0,2021-08-22,53,simule_distributions_ademe_2023
29065,F,D,maison,1945,65.6,622.0,2021-08-23,53,simule_distributions_ademe_2023
35386,C,E,appartement,2014,47.2,290.0,2021-08-23,53,simule_distributions_ademe_2023
22391,D,D,appartement,1972,69.9,158.0,2021-08-23,53,simule_distributions_ademe_2023
29101,G,F,maison,1924,72.4,644.0,2021-08-23,53,simule_distributions_ademe_2023
29024,F,E,maison,1944,107.7,524.0,2021-08-24,53,simule_distributions_ademe_2023
56095,C,F,appartement,1985,29.6,244.0,2021-08-24,53,simule_distributions_ademe_2023
56237,F,C,maison,1954,92.1,473.0,2021-08-24,53,simule_distributions_ademe_2023
29231,D,E,maison,1980,33.8,268.0,2021-08-25,53,simule_distributions_ademe_2023
35215,C,F,maison,1985,29.0,324.0,2021-08-25,53,simule_distributions_ademe_2023
29061,D,E,immeuble,1980,76.2,180.0,2021-08-25,53,simule_distributions_ademe_2023
29206,G,D,appartement,1955,63.5,422.0,2021-08-25,53,simule_distributions_ademe_2023
56094,G,A,appartement,1974,22.9,560.0,2021-08-26,53,simule_distributions_ademe_2023
22127,D,F,appartement,1974,58.9,293.0,2021-08-26,53,simule_distributions_ademe_2023
29011,F,E,maison,1943,21.3,487.0,2021-08-26,53,simule_distributions_ademe_2023
35319,D,F,maison,1978,72.4,284.0,2021-08-26,53,simule_distributions_ademe_2023
35196,C,F,maison,1989,53.1,198.0,2021-08-27,53,simule_distributions_ademe_2023
56333,C,G,appartement,1995,41.0,280.0,2021-08-27,53,simule_distributions_ademe_2023
56169,E,A,appartement,1965,110.3,530.0,2021-08-27,53,simule_distributions_ademe_2023
56329,E,E,maison,1978,54.9,541.0,2021-08-27,53,simule_distributions_ademe_2023
35116,B,D,maison,2018,38.0,127.0,2021-08-28,53,simule_distributions_ademe_2023
22116,E,G,appartement,1988,68.1,532.0,2021-08-28,53,simule_distributions_ademe_2023
56398,B,D,appartement,2006,101.3,97.0,2021-08-28,53,simule_distributions_ademe_2023
22256,F,B,maison,1931,105.4,359.0,2021-08-28,53,simule_distributions_ademe_2023
35135,D,F,maison,1970,47.9,296.0,2021-08-29,53,simule_distributions_ademe_2023
22063,E,F,appartement,1968,132.9,522.0,2021-08-29,53,simule_distributions_ademe_2023
35262,F,F,appartement,1942,56.0,685.0,2021-08-29,53,simule_distributions_ademe_2023
29024,E,C,appartement,1973,104.5,602.0,2021-08-29,53,simule_distributions_ademe_2023
22027,E,D,maison,1988,67.1,645.0,2021-08-30,53,simule_distributions_ademe_2023
22164,D,D,maison,1972,86.2,325.0,2021-08-30,53,simule_distributions_ademe_2023
29057,C,D,appartement,2012,133.1,258.0,2021-08-30,53,simule_distributions_ademe_2023
29375,D,C,appartement,1965,142.1,229.0,2021-08-30,53,simule_distributions_ademe_2023
29182,E,D,appartement,1977,60.9,367.0,2021-08-31,53,simule_distributions_ademe_2023
56043,D,C,maison,1993,45.1,206.0,2021-08-31,53,simule_distributions_ademe_2023
35180,D,G,appartement,1978,64.6,289.0,2021-08-31,53,simule_distributions_ademe_2023
56103,E,D,appartement,1968,54.1,531.0,2021-08-31,53,simule_distributions_ademe_2023
22051,G,C,appartement,1971,65.6,648.0,2021-09-01,53,simule_distributions_ademe_2023
29259,F,E,maison,1949,39.5,530.0,2021-09-01,53,simule_distributions_ademe_2023
56360,F,E,maison,1930,69.6,474.0,2021-09-01,53,simule_distributions_ademe_2023
35044,C,D,appartement,1996,39.1,325.0,2021-09-01,53,simule_distributions_ademe_2023
29104,G,D,appartement,1972,49.6,424.0,2021-09-02,53,simule_distributions_ademe_2023
56005,F,D,appartement,1974,65.3,615.0,2021-09-02,53,simule_distributions_ademe_2023
35121,D,A,appartement,1972,48.3,162.0,2021-09-02,53,simule_distributions_ademe_2023
29220,E,E,maison,1977,38.8,440.0,2021-09-02,53,simule_distributions_ademe_2023
56068,E,D,immeuble,1973,59.4,440.0,2021-09-03,53,simule_distributions_ademe_2023
56018,D,E,appartement,1994,58.3,161.0,2021-09-03,53,simule_distributions_ademe_2023
29396,A,D,maison,1995,60.4,100.0,2021-09-03,53,simule_distributions_ademe_2023
56090,C,D,appartement,1989,66.6,283.0,2021-09-03,53,simule_distributions_ademe_2023
56263,C,F,appartement,2004,80.1,295.0,2021-09-04,53,simule_distributions_ademe_2023
56272,E,F,appartement,1970,100.3,642.0,2021-09-04,53,simule_distributions_ademe_2023
29313,G,E,maison,1962,74.7,565.0,2021-09-04,53,simule_distributions_ademe_2023
56129,C,D,immeuble,1999,26.0,189.0,2021-09-05,53,simule_distributions_ademe_2023
22247,B,E,maison,1999,73.3,100.0,2021-09-05,53,simule_distributions_ademe_2023
22187,E,B,maison,1965,28.5,564.0,2021-09-05,53,simule_distributions_ademe_2023
29264,D,G,appartement,1966,53.0,193.0,2021-09-05,53,simule_distributions_ademe_2023
22352,D,G,maison,1985,115.6,164.0,2021-09-06,53,simule_distributions_ademe_2023
29247,D,E,appartement,1978,62.2,325.0,2021-09-06,53,simule_distributions_ademe_2023
56392,B,F,appartement,1988,62.5,61.0,2021-09-06,53,simule_distributions_ademe_2023
22135,F,D,appartement,1971,33.3,445.0,2021-09-06,53,simule_distributions_ademe_2023
29082,D,E,appartement,1991,69.5,266.0,2021-09-07,53,simule_distributions_ademe_2023
56384,D,E,appartement,1965,23.5,157.0,2021-09-07,53,simule_distributions_ademe_2023
29014,C,D,maison,1992,48.5,272.0,2021-09-07,53,simule_distributions_ademe_2023
22297,E,B,maison,1966,47.0,618.0,2021-09-07,53,simule_distributions_ademe_2023
29024,D,F,appartement,1987,41.9,285.0,2021-09-08,53,simule_distributions_ademe_2023
22187,F,G,appartement,1929,39.1,446.0,2021-09-08,53,simule_distributions_ademe_2023
29025,D,D,immeuble,1985,72.6,183.0,2021-09-08,53,simule_distributions_ademe_2023
22181,F,D,maison,1927,34.3,520.0,2021-09-08,53,simule_distributions_ademe_2023
35206,E,E,maison,1976,61.2,527.0,2021-09-09,53,simule_distributions_ademe_2023
35381,D,C,appartement,1968,93.7,194.0,2021-09-09,53,simule_distributions_ademe_2023
22138,F,E,maison,1937,50.1,604.0,2021-09-09,53,simule_distributions_ademe_2023
29017,F,D,appartement,1972,40.2,511.0,2021-09-09,53,simule_distributions_ademe_2023
35223,F,D,appartement,1932,120.8,594.0,2021-09-10,53,simule_distributions_ademe_2023
35041,E,D,maison,1965,71.8,677.0,2021-09-10,53,simule_distributions_ademe_2023
35166,D,D,maison,1990,111.7,295.0,2021-09-10,53,simule_distributions_ademe_2023
35069,G,E,appartement,1939,99.4,516.0,2021-09-10,53,simule_distributions_ademe_2023
56376,E,F,appartement,1979,40.2,517.0,2021-09-11,53,simule_distributions_ademe_2023
56265,A,G,immeuble,1991,210.0,77.0,2021-09-11,53,simule_distributions_ademe_2023
22023,E,D,appartement,1988,97.8,607.0,2021-09-11,53,simule_distributions_ademe_2023
56175,D,F,maison,1986,35.3,293.0,2021-09-11,53,simule_distributions_ademe_2023
35122,C,B,appartement,2011,102.2,321.0,2021-09-12,53,simule_distributions_ademe_2023
56290,C,F,maison,1999,58.1,245.0,2021-09-12,53,simule_distributions_ademe_2023
35391,D,C,appartement,1989,52.2,217.0,2021-09-12,53,simule_distributions_ademe_2023
35031,G,E,appartement,1925,47.5,458.0,2021-09-12,53,simule_distributions_ademe_2023
56330,G,F,maison,1927,77.7,388.0,2021-09-13,53,simule_distributions_ademe_2023
29028,E,E,appartement,1977,87.3,370.0,2021-09-13,53,simule_distributions_ademe_2023
22279,G,E,appartement,1958,105.9,579.0,2021-09-13,53,simule_distributions_ademe_2023
35137,D,G,maison,1976,82.0,194.0,2021-09-13,53,simule_distributions_ademe_2023
35027,G,F,maison,1922,150.5,581.0,2021-09-14,53,simule_distributions_ademe_2023
56229,E,E,appartement,1971,78.2,692.0,2021-09-14,53,simule_distributions_ademe_2023
22324,C,G,maison,2000,62.3,264.0,2021-09-14,53,simule_distributions_ademe_2023
35217,G,D,appartement,1944,58.3,700.0,2021-09-14,53,simule_distributions_ademe_2023
35024,G,B,appartement,1932,72.3,480.0,2021-09-15,53,simule_distributions_ademe_2023
22167,C,A,maison,2012,52.6,266.0,2021-09-15,53,simule_distributions_ademe_2023
22146,G,B,maison,1926,118.1,685.0,2021-09-15,53,simule_distributions_ademe_2023
29238,E,F,maison,1993,82.4,594.0,2021-09-16,53,simule_distributions_ademe_2023
29219,C,F,maison,2007,125.1,231.0,2021-09-16,53,simule_distributions_ademe_2023
22126,D,E,appartement,1992,26.7,185.0,2021-09-16,53,simule_distributions_ademe_2023
35017,G,E,maison,1973,104.4,531.0,2021-09-16,53,simule_distributions_ademe_2023
29281,D,E,maison,1992,54.3,187.0,2021-09-17,53,simule_distributions_ademe_2023
29340,F,C,maison,1948,38.6,600.0,2021-09-17,53,simule_distributions_ademe_2023
22158,G,F,maison,1967,82.8,666.0,2021-09-17,53,simule_distributions_ademe_2023
22307,D,E,maison,1965,90.4,313.0,2021-09-17,53,simule_distributions_ademe_2023
35307,E,F,appartement,1970,57.7,488.0,2021-09-18,53,simule_distributions_ademe_2023
