CODGEO,NB_LOGEMENTS,NB_RP,NB_LOGVAC,NB_MAISON,NB_APPART,DEP
77019,4395,3096,445,1925,2144,77
77020,1020,778,70,420,443,77
77021,451,371,62,225,174,77
77022,4465,2933,271,1905,1346,77
77023,23813,17588,2519,6941,10120,77
77024,435,345,45,177,240,77
77025,1246,861,102,492,348,77
77026,304,256,23,155,141,77
77027,12759,10276,1238,5212,3140,77
77028,126,104,8,69,35,77
77029,141,112,9,72,64,77
77030,1650,1143,108,729,662,77
77031,96,67,8,41,36,77
77032,8821,5854,763,2831,3708,77
77033,663,500,95,165,349,77
77034,4388,3720,330,2593,2597,77
77035,13474,11233,1008,3409,5285,77
77036,390,292,34,194,137,77
77037,169,119,16,64,60,77
77038,585,493,74,208,285,77
77039,3620,3075,518,1759,1138,77
77040,381,296,38,135,125,77
77041,133,90,16,36,30,77
77042,556,450,41,160,184,77
77043,716,598,79,375,397,77
77044,1768,1290,187,559,537,77
77045,2244,1693,151,1089,852,77
77046,839,650,96,430,409,77
77047,177,139,18,68,72,77
77048,449,371,39,155,235,77
77049,4148,3263,515,2072,1542,77
77050,124059,91673,8597,32356,38425,77
77051,3777,3203,212,1807,1666,77
77052,1626,1123,186,669,758,77
77053,260,200,35,71,129,77
77054,515,417,57,215,259,77
77055,354,249,50,101,98,77
77056,8788,6436,1085,4218,4490,77
77057,386,317,52,148,130,77
77058,1793,1393,185,687,968,77
77059,854,607,49,328,339,77
77060,13202,8702,1892,4552,2781,77
77061,1606,1362,85,838,656,77
77062,3485,2558,229,1200,1481,77
77063,69,57,8,35,34,77
77064,480,388,38,137,150,77
77065,4775,3179,461,1796,1633,77
77066,39,29,3,13,12,77
77067,1906,1601,255,601,824,77
77068,1320,927,150,379,586,77
77069,2884,2341,331,1434,854,77
77070,362,242,47,132,72,77
77071,197,141,22,80,82,77
77072,167,136,8,50,67,77
77073,521,342,52,237,229,77
77074,714,523,46,337,300,77
77075,150,125,19,60,53,77
77076,24169,17573,1855,11488,9622,77
77077,1622,1257,175,808,729,77
77078,14791,12546,1435,6451,7340,77
77079,24464,20786,2560,12449,7695,77
77080,624,487,60,291,158,77
77081,4958,3433,526,2108,1945,77
77082,21,14,2,4,9,77
77083,834,594,115,300,178,77
77084,2867,1863,393,720,1102,77
77085,264,190,36,97,79,77
77086,613,414,83,255,235,77
77087,3564,2895,420,1909,1025,77
77088,5243,4122,386,1977,2369,77
77089,5822,4624,632,1687,3207,77
77090,3589,2907,345,1739,1186,77
77091,398,311,51,174,205,77
77092,1979,1368,204,443,532,77
77093,1449,1205,155,372,587,77
77094,2781,2093,236,848,936,77
77095,161,110,10,57,70,77
77096,3735,3074,476,953,1217,77
77097,3882,2720,228,1689,1762,77
77098,148717,102840,12355,56589,46298,77
77099,2248,1789,168,717,1077,77
78001,2102,1604,170,536,507,78
78002,4990,3712,668,1423,1359,78
78003,25,20,1,7,10,78
78004,326,228,48,150,111,78
78005,844,617,56,275,361,78
78006,4232,2757,575,1394,1377,78
78007,2943,2157,219,803,984,78
78008,1361,1073,88,591,368,78
78009,92,70,10,43,42,78
78010,145,119,12,73,47,78
78011,450,363,60,127,126,78
78012,3165,2310,253,1551,1582,78
78013,4860,3973,709,1312,1641,78
78014,768,586,105,200,248,78
78015,894,680,123,335,339,78
78016,677,570,56,319,245,78
78017,314,222,23,74,92,78
78018,190,125,16,56,60,78
78019,1695,1211,205,628,821,78
78020,1861,1579,263,503,1045,78
78021,7539,5732,1003,3902,2917,78
78022,3781,2476,203,1240,1547,78
78023,426,289,46,101,92,78
78024,1994,1436,130,919,553,78
78025,2531,1797,211,935,607,78
78026,341,262,48,95,177,78
78027,1754,1365,242,616,940,78
78028,161,121,23,76,58,78
78029,534,425,35,259,150,78
78030,1505,1005,158,494,544,78
78031,2494,1910,167,712,781,78
78032,2784,2097,277,774,1263,78
78033,1042,800,134,509,314,78
78034,3957,2783,316,1270,1580,78
78035,1836,1320,198,531,757,78
78036,23957,19256,1890,12737,12975,78
78037,6092,4606,642,2347,3073,78
78038,4702,3081,685,1947,1022,78
78039,3691,2676,533,1276,963,78
78040,28669,22330,3295,7782,6896,78
78041,4322,3628,584,1321,2239,78
78042,410,313,31,212,114,78
78043,76,53,10,34,27,78
78044,791,537,63,177,334,78
78045,29226,19435,4007,9341,9927,78
78046,198,144,26,90,98,78
78047,1646,1261,91,441,695,78
78048,491,386,69,162,227,78
78049,167,127,14,50,83,78
78050,5896,4983,728,3120,2769,78
78051,1550,1031,203,594,614,78
78052,7251,5217,645,2470,2363,78
78053,5003,4211,418,2145,1637,78
78054,6893,5782,879,2904,1969,78
78055,2749,2248,281,842,1048,78
78056,117,93,15,33,39,78
78057,1231,836,91,278,498,78
78058,35093,24730,3771,13190,15618,78
78059,12712,8585,1581,4682,3066,78
78060,2079,1712,108,533,823,78
78061,2868,2010,196,1341,1278,78
78062,158,114,11,57,45,78
78063,18573,12230,1000,3750,5944,78
78064,1794,1344,243,516,820,78
78065,30343,24017,2394,7703,14446,78
78066,1141,893,141,348,376,78
78067,1281,851,149,326,588,78
78068,161,114,20,34,77,78
78069,8830,7379,1111,3648,3543,78
78070,840,688,123,357,231,78
78071,418,281,58,122,159,78
78072,17570,11810,2563,7067,4642,78
78073,28,21,4,14,9,78
78074,9786,7836,1168,4920,3150,78
78075,2377,1740,242,549,529,78
78076,252,164,35,83,91,78
78077,2025,1588,217,925,906,78
78078,1500,1171,146,417,703,78
78079,804,640,95,338,297,78
78080,32,26,3,15,16,78
78081,1331,1069,120,740,623,78
78082,107,81,8,33,45,78
78083,10289,6729,788,4491,4488,78
78084,4959,3834,607,1295,2290,78
78085,25419,19982,3466,7467,8706,78
78086,4278,3142,347,2094,2102,78
78087,1225,830,84,472,323,78
78088,4456,3050,494,2081,1654,78
78089,1158,909,71,541,338,78
78090,811,667,121,210,337,78
78091,9,6,0,4,3,78
78092,61765,43752,4370,30624,22400,78
78093,2188,1818,220,959,1191,78
78094,4544,3065,353,1898,1087,78
78095,5274,4440,415,2747,2976,78
78096,11794,8906,899,5429,3587,78
78097,238,186,12,89,95,78
78098,4948,3689,632,1598,1232,78
78099,983,748,139,245,338,78
91001,1757,1255,236,522,414,91
91002,67,47,3,19,16,91
91003,24454,16927,2554,6108,7327,91
91004,4833,3313,653,1815,1635,91
91005,8200,5376,965,3057,3043,91
91006,395,273,39,160,139,91
91007,1093,795,155,448,421,91
91008,345,254,28,143,145,91
91009,1068,827,121,358,515,91
91010,75,59,7,30,25,91
91011,1972,1305,170,727,546,91
91012,518,434,31,154,144,91
91013,931,771,62,398,359,91
91014,1492,1135,82,638,561,91
91015,2078,1728,134,588,1151,91
91016,13714,10042,698,4360,3257,91
91017,9657,6799,1340,4141,3388,91
91018,444,337,38,182,182,91
91019,324,215,38,106,124,91
91020,1446,939,187,494,304,91
91021,180,127,16,55,52,91
91022,1155,791,68,531,442,91
91023,3514,2314,276,924,1526,91
91024,543,358,53,200,187,91
91025,1789,1192,126,691,433,91
91026,1022,800,82,323,403,91
91027,366,273,37,98,144,91
91028,2918,2440,259,1479,1625,91
91029,1695,1209,251,808,478,91
91030,2625,1810,387,580,694,91
91031,73184,61605,3851,22557,39778,91
91032,7934,6104,1176,2379,3934,91
91033,3528,2521,220,963,1073,91
91034,2070,1468,145,741,856,91
91035,227,166,14,92,54,91
91036,388,301,41,183,98,91
91037,1163,933,119,499,406,91
91038,445,312,55,144,211,91
91039,2452,1817,200,775,851,91
91040,563,460,46,219,295,91
91041,613,484,87,242,294,91
91042,1088,778,129,297,328,91
91043,691,533,74,204,335,91
91044,2287,1490,175,813,768,91
91045,163,105,14,62,68,91
91046,159,124,22,68,42,91
91047,7138,5521,607,1947,3476,91
91048,739,559,61,283,223,91
91049,1850,1240,200,421,598,91
91050,4039,2910,308,1567,892,91
91051,717,588,39,388,300,91
91052,22721,17961,2078,8335,10310,91
91053,1165,870,131,384,457,91
91054,689,501,52,264,328,91
91055,6253,4097,584,2444,2010,91
91056,885,709,102,351,237,91
91057,1889,1459,147,908,495,91
91058,70,54,3,29,17,91
91059,53,37,5,24,22,91
91060,8052,5339,598,3351,3044,91
91061,2377,1724,268,560,716,91
91062,277,208,29,120,67,91
91063,9361,7155,1314,2146,2198,91
91064,44,36,4,15,21,91
91065,2608,1893,391,883,1042,91
91066,663,497,59,227,269,91
91067,62,51,5,20,15,91
91068,102,73,13,27,31,91
91069,162,133,10,79,61,91
91070,927,777,69,399,507,91
91071,338,233,45,154,128,91
91072,69,49,6,24,29,91
91073,913,668,115,294,440,91
91074,554,447,74,142,272,91
91075,70,59,8,29,18,91
91076,5375,3656,774,1668,1895,91
91077,1052,747,56,447,250,91
91078,448,369,52,171,215,91
91079,1438,1047,156,359,321,91
91080,266,197,30,136,86,91
91081,2907,2387,204,982,1587,91
91082,732,575,103,276,211,91
91083,179,140,20,75,83,91
91084,4680,3753,365,1867,1453,91
91085,1142,957,138,457,305,91
91086,10923,7824,1497,4557,4920,91
91087,8661,6227,976,3531,2269,91
91088,615,499,90,286,324,91
91089,157,119,13,77,43,91
91090,2879,2351,285,1209,737,91
91091,813,640,109,374,355,91
91092,430,356,49,146,200,91
91093,3272,2565,276,1630,1651,91
91094,1010,689,134,340,372,91
91095,3462,2932,255,1578,1870,91
91096,1576,1294,127,638,794,91
91097,8381,6099,560,2251,3912,91
91098,3002,2182,243,1372,1487,91
91099,127,100,18,34,47,91
92001,394,298,57,117,161,92
92002,1685,1172,196,499,593,92
92003,2681,1961,346,1119,1095,92
92004,184,140,15,65,50,92
92005,104,79,11,27,52,92
92006,7585,5795,386,2246,2755,92
92007,434,368,22,134,135,92
92008,4685,3065,342,1619,1172,92
92009,2644,1965,393,621,1042,92
92010,17,11,1,5,3,92
92011,161,121,21,71,58,92
92012,341,228,34,82,150,92
92013,861,724,69,437,294,92
92014,1785,1316,143,788,410,92
92015,288,224,34,136,109,92
92016,2510,1650,212,633,1101,92
92017,1560,1257,111,468,500,92
92018,3580,2328,464,975,1164,92
92019,116,88,10,51,55,92
92020,98,64,13,44,31,92
92021,2361,1705,239,866,1083,92
92022,320,215,26,105,99,92
92023,2660,2037,196,1127,1199,92
92024,1721,1338,215,416,894,92
92025,4637,3327,436,1836,2178,92
92026,178,119,21,42,67,92
92027,547,370,51,233,198,92
92028,95,80,4,36,32,92
92029,1481,1250,190,802,858,92
92030,455,352,66,196,134,92
92031,153,115,22,72,41,92
92032,64788,42883,8650,24824,27802,92
92033,37,24,3,8,12,92
92034,199,151,15,66,79,92
92035,4668,3947,437,1906,1320,92
92036,3260,2348,317,1473,773,92
92037,144,118,17,80,73,92
92038,825,600,43,280,260,92
92039,30,22,2,13,12,92
92040,16944,12357,1248,7883,4487,92
92041,280,196,28,104,108,92
92042,612,452,47,264,213,92
92043,2864,1878,329,1235,937,92
92044,686,487,75,197,270,92
92045,1789,1164,254,700,507,92
92046,110,89,8,61,31,92
92047,1815,1365,152,624,933,92
92048,269,177,27,69,92,92
92049,3678,2402,349,988,945,92
92050,3829,2588,242,865,1735,92
92051,470,386,51,240,119,92
92052,1420,1032,111,394,547,92
92053,2526,1950,207,1102,1205,92
92054,1961,1339,277,668,649,92
92055,6886,4991,440,2674,2527,92
92056,2648,1773,316,1033,713,92
92057,4489,3506,604,1801,2065,92
92058,384,269,44,88,133,92
92059,892,583,66,365,302,92
92060,1641,1297,90,453,510,92
92061,10432,8825,1267,2830,5847,92
92062,464,341,42,187,181,92
92063,2584,1709,270,1121,661,92
92064,22819,17453,2475,7258,5899,92
92065,955,635,99,429,195,92
92066,997,822,89,276,248,92
92067,261,170,20,115,69,92
92068,1366,977,126,465,682,92
92069,648,493,34,335,234,92
92070,54819,42327,4193,18559,28795,92
92071,3305,2303,243,1359,887,92
92072,666,562,91,248,324,92
92073,470,311,62,157,167,92
92074,635,519,87,201,311,92
92075,3784,3141,497,2007,2074,92
92076,363,262,34,135,183,92
92077,7773,6292,841,3682,2498,92
92078,3315,2695,291,1278,1601,92
92079,565,462,73,320,217,92
92080,1227,849,178,423,457,92
92081,603,404,66,272,167,92
92082,1897,1459,273,597,980,92
92083,842,609,79,262,259,92
92084,1107,812,143,556,426,92
92085,10154,7225,1406,3875,3087,92
92086,19690,16342,1125,5834,8589,92
92087,440,351,38,119,227,92
92088,32,24,4,9,16,92
92089,616,423,67,245,201,92
92090,1442,1021,112,338,621,92
92091,1526,1197,156,521,511,92
92092,1270,973,93,480,547,92
92093,1104,871,157,333,589,92
92094,241,185,24,127,62,92
92095,133,92,15,35,58,92
92096,3222,2203,193,1495,914,92
92097,618,504,63,180,348,92
92098,77,58,10,18,22,92
92099,880,639,93,434,236,92
93001,1394,1016,170,416,697,93
93002,139,100,15,50,31,93
93003,6477,4261,702,2584,2840,93
93004,3376,2645,286,1118,1372,93
93005,5902,4836,718,3304,1495,93
93006,16,11,2,5,7,93
93007,220,180,24,62,59,93
93008,1511,1171,172,701,594,93
93009,1316,935,149,289,507,93
93010,13318,10416,866,4092,5588,93
93011,7173,4781,622,2292,2215,93
93012,10286,7530,1308,5088,4775,93
93013,3663,2670,420,1689,1756,93
93014,8526,5772,856,2454,3870,93
93015,3916,3167,216,1176,1394,93
93016,3278,2459,377,786,1022,93
93017,421,321,47,98,217,93
93018,245,173,29,102,62,93
93019,25844,21215,3673,12014,10320,93
93020,668,494,44,212,294,93
93021,5234,4402,571,2870,1600,93
93022,724,494,60,164,182,93
93023,1055,778,56,255,451,93
93024,3217,2241,316,1271,969,93
93025,36749,28590,4470,10556,18536,93
93026,916,648,62,393,366,93
93027,56503,37179,5223,12315,13244,93
93028,955,664,139,311,435,93
93029,219,147,32,98,55,93
93030,1690,1170,225,391,517,93
93031,649,526,72,254,366,93
93032,451,335,33,130,153,93
93033,152,102,15,56,62,93
93034,1810,1528,99,527,651,93
93035,158,104,15,45,45,93
93036,893,632,106,247,422,93
93037,106,87,12,47,35,93
93038,117,82,13,54,38,93
93039,2483,2053,176,1000,1058,93
93040,414,316,32,174,162,93
93041,12574,10517,1190,4863,5536,93
93042,2738,1836,306,914,1174,93
93043,6189,4181,716,2770,2791,93
93044,83,56,12,18,21,93
93045,1938,1289,275,568,712,93
93046,370,276,29,138,167,93
93047,499,410,29,141,141,93
93048,173,140,23,46,67,93
93049,2265,1796,188,698,1061,93
93050,696,585,65,359,278,93
93051,16,12,1,7,8,93
93052,80,62,5,26,28,93
93053,3271,2370,471,1524,1097,93
93054,948,714,84,480,454,93
93055,2699,1779,247,1217,1168,93
93056,297,227,36,99,157,93
93057,77,60,5,30,23,93
93058,2173,1454,165,607,840,93
93059,819,693,55,277,452,93
93060,12471,10505,1212,3433,5974,93
93061,258,180,31,65,55,93
93062,5513,3885,635,1441,1453,93
93063,7151,5040,1018,3231,1895,93
93064,2574,1861,155,684,1294,93
93065,5546,4452,599,2858,1529,93
93066,2690,2125,224,1433,853,93
93067,615,521,60,255,325,93
93068,607,488,70,249,168,93
93069,548,383,44,252,215,93
93070,12676,10158,1688,4065,3334,93
93071,3515,2917,295,1711,1223,93
93072,1682,1210,89,515,644,93
93073,420,337,23,207,117,93
93074,933,781,105,275,387,93
93075,1761,1278,148,568,484,93
93076,837,648,53,324,433,93
93077,557,368,57,205,161,93
93078,81,68,4,21,38,93
93079,6712,4685,729,2191,2467,93
93080,103,78,12,46,33,93
93081,6755,5555,768,3774,2208,93
93082,321,225,46,130,87,93
93083,2701,1764,207,777,1206,93
93084,1711,1131,180,533,526,93
93085,9851,6971,724,4497,4404,93
93086,834,633,77,298,400,93
93087,8629,7177,1197,4283,2686,93
93088,3447,2284,172,1142,1166,93
93089,2636,1773,355,729,1185,93
93090,808,680,70,404,300,93
93091,1239,849,101,285,372,93
93092,4344,3664,579,1396,2061,93
93093,5643,4073,679,2296,2215,93
93094,407,266,23,127,149,93
93095,469,367,25,151,245,93
93096,391,310,39,97,146,93
93097,167597,131513,13490,59345,39823,93
93098,1753,1222,211,507,407,93
93099,66,52,8,27,16,93
94001,328,225,20,135,114,94
94002,1369,921,95,537,576,94
94003,4499,3557,556,2092,2263,94
94004,520,411,26,190,252,94
94005,610,502,54,349,341,94
94006,472,308,37,130,177,94
94007,513,380,66,257,176,94
94008,222,152,18,94,74,94
94009,4088,3110,599,1984,2031,94
94010,903,635,122,365,421,94
94011,369,240,36,119,152,94
94012,3940,2819,256,1054,1630,94
94013,693,496,83,338,280,94
94014,803,631,42,371,292,94
94015,963,653,115,430,290,94
94016,8624,5850,1165,1878,1819,94
94017,260,175,24,88,89,94
94018,511,385,56,211,120,94
94019,2119,1379,268,790,667,94
94020,60,42,8,17,18,94
94021,365,267,52,119,166,94
94022,196,140,15,76,89,94
94023,348,282,23,91,125,94
94024,1741,1206,204,692,694,94
94025,11720,9297,1399,4372,5914,94
94026,1181,884,107,356,277,94
94027,852,631,83,363,301,94
94028,34775,26822,4184,17337,16313,94
94029,12415,8525,1318,5212,3791,94
94030,1845,1252,239,464,636,94
94031,1433,1129,165,550,719,94
94032,136,103,11,50,58,94
94033,627,456,72,189,173,94
94034,1139,843,148,426,272,94
94035,2480,1882,243,1079,954,94
94036,67,53,9,28,22,94
94037,2843,2014,366,981,932,94
94038,329,271,32,124,94,94
94039,206,174,24,75,116,94
94040,3193,2645,215,1426,1836,94
94041,18346,13533,2072,4447,5073,94
94042,9704,8005,1209,3578,4857,94
94043,914,737,72,501,514,94
94044,121,85,15,40,30,94
94045,427,348,33,204,210,94
94046,15537,10783,1186,3424,3483,94
94047,593,477,43,300,256,94
94048,1242,1010,118,350,570,94
94049,12364,9818,1276,6043,3597,94
94050,903,749,55,459,340,94
94051,188,148,21,66,75,94
94052,955,718,121,474,282,94
94053,3500,2421,462,1278,1318,94
94054,246,192,24,74,96,94
94055,3252,2151,224,1449,969,94
94056,3405,2520,475,1573,865,94
94057,868,672,109,245,379,94
94058,910,771,98,505,369,94
94059,195,136,9,66,63,94
94060,481,350,56,211,162,94
94061,198,159,22,73,80,94
94062,87,58,11,20,36,94
94063,504,360,33,226,228,94
94064,2254,1844,206,911,933,94
94065,539,381,70,205,161,94
94066,1636,1065,157,420,580,94
94067,945,775,109,235,321,94
94068,531,447,55,181,278,94
94069,1766,1468,147,600,764,94
94070,480,319,63,199,167,94
94071,2957,2055,405,1165,725,94
94072,7353,5727,611,3546,3520,94
94073,1703,1390,217,611,697,94
94074,4301,3254,415,1280,1265,94
94075,1185,778,107,518,509,94
94076,3860,3236,281,1368,1130,94
94077,571,461,29,300,322,94
94078,2893,2021,329,1214,1311,94
94079,1317,1059,106,545,430,94
94080,1178,992,151,523,491,94
94081,924,719,74,455,494,94
94082,698,553,76,372,301,94
94083,116,78,14,46,38,94
94084,2343,1646,152,641,532,94
94085,1794,1177,112,823,577,94
94086,2474,1995,302,1174,1209,94
94087,400,315,46,123,103,94
94088,402,261,43,133,133,94
94089,2733,2224,299,1194,1051,94
94090,3464,2386,321,1345,1503,94
94091,573,415,31,200,283,94
94092,360,302,50,152,153,94
94093,468,377,32,221,175,94
94094,703,531,51,170,297,94
94095,469,310,35,115,188,94
94096,15,12,1,6,4,94
94097,971,824,73,248,380,94
94098,7713,5717,760,3628,2932,94
94099,4935,3774,598,1371,1812,94
95001,1364,1049,84,353,709,95
95002,5664,3751,340,1241,1429,95
95003,942,792,72,375,389,95
95004,995,731,127,481,409,95
95005,568,383,52,267,119,95
95006,25998,20557,2781,12134,12645,95
95007,477,402,71,250,210,95
95008,193,143,28,65,79,95
95009,765,589,85,327,233,95
95010,373,256,39,82,150,95
95011,884,731,56,415,409,95
95012,146,122,19,71,84,95
95013,3854,2518,250,1232,851,95
95014,310,217,29,84,78,95
95015,31595,24537,2770,7409,15948,95
95016,1932,1303,279,436,743,95
95017,902,732,122,387,310,95
95018,353,278,18,156,144,95
95019,2215,1611,325,1016,1124,95
95020,99,78,8,46,40,95
95021,956,647,74,217,430,95
95022,10208,7270,1520,3922,4555,95
95023,247,206,16,135,66,95
95024,394,287,24,178,122,95
95025,3353,2669,287,1690,1297,95
95026,1721,1184,251,616,667,95
95027,123,104,7,63,71,95
95028,11513,8701,1099,5774,3394,95
95029,128,89,9,60,39,95
95030,374,309,36,101,142,95
95031,227,186,12,99,123,95
95032,108,88,12,56,49,95
95033,147,124,12,37,60,95
95034,3240,2620,376,1596,1390,95
95035,251,194,22,115,88,95
95036,3443,2570,493,1052,987,95
95037,284,230,34,85,150,95
95038,308,239,21,109,167,95
95039,689,547,77,284,310,95
95040,185,155,26,108,77,95
95041,9072,6522,836,4382,3669,95
95042,4879,3763,490,1566,2500,95
95043,2652,2037,218,789,718,95
95044,3590,2546,319,1067,1612,95
95045,23916,19210,2057,6864,10669,95
95046,221,161,11,83,51,95
95047,498,379,64,251,219,95
95048,36,24,1,14,16,95
95049,63673,48158,8591,23444,31178,95
95050,299,235,31,98,160,95
95051,4778,3215,337,1837,1176,95
95052,5472,4099,790,2519,2263,95
95053,132,91,11,33,51,95
95054,245,182,24,100,117,95
95055,154,121,19,70,36,95
95056,5103,4309,446,2072,2484,95
95057,720,500,55,231,189,95
95058,103,74,6,44,33,95
95059,2153,1718,317,1176,1010,95
95060,13855,11678,1340,5306,3530,95
95061,2292,1667,249,587,524,95
95062,10797,7674,1316,4742,4605,95
95063,202,139,27,43,90,95
95064,518,338,28,188,178,95
95065,218,159,22,84,58,95
95066,13388,10812,1042,7189,6318,95
95067,1245,834,182,429,537,95
95068,4428,2989,547,1051,1390,95
95069,681,460,55,227,243,95
95070,233,196,16,83,121,95
95071,3846,3075,510,1416,1381,95
95072,90,71,11,43,44,95
95073,2012,1353,181,737,851,95
95074,911,654,117,343,456,95
95075,187,133,19,70,68,95
95076,7976,5953,985,4094,2958,95
95077,7284,5234,792,3001,2834,95
95078,159,108,9,60,36,95
95079,12984,8768,1474,4784,4146,95
95080,322,233,16,118,127,95
95081,776,553,66,290,323,95
95082,53,44,6,14,27,95
95083,116,85,14,50,33,95
95084,705,571,78,313,392,95
95085,2274,1834,207,573,666,95
95086,13413,9081,701,5761,6346,95
95087,1063,749,112,418,412,95
95088,291,225,41,137,112,95
95089,4085,2689,507,1176,1058,95
95090,1015,674,114,243,305,95
95091,137,115,7,51,37,95
95092,1644,1258,160,854,809,95
95093,944,729,126,313,424,95
95094,150,119,7,68,40,95
95095,153,109,21,61,74,95
95096,774,560,83,224,283,95
95097,2941,2334,359,1250,895,95
95098,226,181,18,121,92,95
95099,1505,1249,168,707,823,95
02001,143,112,8,47,56,02
02002,443,337,58,199,142,02
02003,225,188,27,113,107,02
02004,2649,1882,222,1187,588,02
02005,5778,4708,368,1764,1897,02
02006,576,386,54,203,138,02
02007,2020,1602,242,686,603,02
02008,4143,3106,541,1240,1828,02
02009,1075,894,68,570,428,02
02010,861,697,126,399,277,02
02011,272,226,30,116,147,02
02012,961,656,58,412,359,02
02013,35,27,3,9,13,02
02014,134,104,19,64,61,02
02015,2840,2232,236,1081,1516,02
02016,486,338,56,227,186,02
02017,752,607,53,190,233,02
02018,2413,1822,295,900,847,02
02019,345,274,48,128,96,02
02020,2187,1432,283,892,925,02
02021,29,21,3,13,13,02
02022,78,59,10,25,24,02
02023,1653,1247,162,620,515,02
02024,253,173,14,54,82,02
02025,3940,3224,302,1533,1358,02
02026,2899,2003,195,1224,913,02
02027,1565,1121,106,473,449,02
02028,25782,20365,3284,8798,10521,02
02029,1370,1026,152,641,378,02
02030,1198,864,70,544,602,02
02031,133,107,13,57,36,02
02032,154,121,22,57,51,02
02033,2053,1600,175,527,1078,02
02034,87189,67860,6286,37562,28816,02
02035,4011,2646,331,1010,1044,02
02036,1666,1394,146,623,593,02
02037,835,683,97,444,317,02
02038,847,553,112,251,276,02
02039,480,317,55,129,192,02
02040,407,300,40,119,170,02
02041,901,713,71,370,492,02
02042,7514,4928,1055,2977,1785,02
